,Sample name,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Name,
28039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52059.5,
28035,,,,,,,,,,,,,,,,,,,,,49058.6,,,,,,,,,,,
28032,,,,,,,,,,,35258.8,,,,,,,,,,,47164.9,,,,,,,,,,
28029,,,,,,,,,,,,,,,,,129734,,,,,,,,,,,,,,,
28026,,,,,,,,,,,,,,,,,,,,,,,,,,268268,143448,,,,,
28025,,,,132499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49915.2
28020,,,,,,,85522.9,85522.9,,60696.7,,,,,,,,,,,,,,,,,,,,,,
28019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44678.4,33771.8,
28018,,,,,,,,,54515.3,,,,,,,,,,,,,,,,,,,,,,,
28015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88244.7,,,
28010,,,,,,,,,,,,,,,,,105190,,,,,,,,,,,,,,,
27987,,,,,,,,,,,,,,,,,179810,,,,,,,,,,,,,,,
27986,,,,,,,,,,,,,,,,,,,,,,,,,,412876,,,113169,,,
27985,,,,295588,,,,,,,34361.4,,,,,,,,,,,,,,,,,,,,,
27984,,,,,,,,,,,,,22858,,,347349,,,,,,,,,,,110178,,,,,
27983,,,,,,,102626,102626,,,,,,,,,,,,,,,,,,,,,,,,
27982,,,,,,,,,,53052.6,,,,,,,,,,,,,,,,,,,,,,
27981,,,,,,,,,,,,32659.2,,,,,,,,,,,,,,,,,,,,
27979,,,,,,,,,38139,,,,,,,,,,,,,,,,,,,,,,,
27978,,,,,,,,,,,,,,,,,,,76861.5,,,,,,,,,,,,,
27977,,,,,,,,,,,,,,,,,,80578.8,,,,,,,,,,,,,,
27976,,,,,,,,,,,,,,,,,,,,,25330.2,,,,,,,,,,,
27975,,,,,,,,,,,,,,,,,,,,,,25743.4,,,,,,,,,,
27974,,,,,,,,,,,,,,,,,,,,50655,,,,,,,,,,,,
27973,,,,,,,,,,,,,,,,,,,,,,,,,,,,106452,,,,
27972,,,,,99513.1,99513.1,,,,,,,,,,,,,,,,,,,,,,,,,,
27964,,,,,,,,,,,,,,,,,107274,,,,,,,,,,,,,,,
27947,,,,,,,,,,,,,,,,,,,36639.1,,,,,,,,,,,,,
27940,,,,,,,,,,,,,,,,,,,,,,,,,,170185,,,,,,
27939,,,,,,,,,,,,,30505.3,,,,,,,,,,,,,,,,,,,
27937,,,,,,,,,,,,,,,,165902,98873.2,,,,,,,,,,,,,,,
27936,,,,112508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27924,,,,,,,,,,,42937,,,,,,,,,,,,,,,,,,,,47335.1,
27923,,,,,,,,,,,,,,,,,,,,,35644.1,,,,,,,,,,,
27920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53277.1,,
27919,,,,128436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27894,,,,,,,,,46257.1,,,,,,,,,,,,,,,,,,,,,,,
27893,,,,,,,,,,,,,,,,,,,,,25849.4,,,,,,,,122112,,,
27892,,,,,115973,115973,,,,,,,,,,,,,,,,,,,,,,,,,,
27891,,,,303772,,,,,,,,,,,,,164913,136765,,,,,,,,,,,,,,
27890,,,,,,,,,,,,,,,,292569,,,129804,,,28919.7,,,,436084,,,,,,
27889,,,,,,,104054,104054,,,,,,,,,,,,65762,,,,,,,,122025,,,50054,
27876,,,,,,,,,,,,,,,,,,,,,,,,,,,138945,,,55690.9,,
27873,,,,260099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27870,,,,,,,,,,,,,,,,201043,,,,,,,,,,,,,,,,
27862,,,,,,,,,,33948.3,,,,,,,,,,,,,,,,,,,,,,
27852,,,,,,,,,,,,,,,,,,,,,,,,,,243422,,,,,,
27851,,,,,,,,,,,,,,,,,,86560.5,,,,,,,,,,87609.1,,,,
27850,,,,,,,,,,,,,,,,,,,,,,,,,,,103804,,,,,
27849,,,,,,,,,,,,28428.6,,,,,,,54355.4,,,,,,,,,,,,,
27840,,,,,79053.4,79053.4,,,,,,,,,,,,,,,,,,,,,,,,,,
27838,,,,,,,,,,,32078.5,,,,,,107109,,,,,,,,,,,,,,,
27832,,,,,,,,,,,,,,,,,,,,,,,,,,,,84670,,,,
27819,,,,,,,,,,,,,,,,,,,,,,,,,,242685,,,,,,
27812,,,,131136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27811,,,,,,,,,,,,,,,,242428,,,,,,,,,,,,,,,,
27808,,,,,78619.1,78619.1,,,,,,,,,,,,,,,,,,,,,,,,,,
27802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52279.6,,
27799,,,,,,,,,,,42391.7,,,,,,,,,,,,,,,,,,,,,
27796,,,,,,,91734.7,91734.7,,,,,,,,,,,,,,,,,,,,,,,,
27794,,95104.8,,,,,,,,,,,28546.5,,,,,,,,,,,,,,,,,,,
27792,,,,,,,,,,38366.1,,,,,,,,,,,,,,,,,,,,,,
27786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43940.4
27785,,,,,,,,,,,,,,,,,,130364,,,,,,,,,,,,,,
27784,,,,,,,,,,,,,,,,,,,57763.1,,,,,,,,,,,,,
27783,,,,271429,,,,,,,,,,,,389432,189419,,,,,,,,,,,,72837.4,,,
27782,,,,,147816,147816,,,,,,,,,,,,,,,,,,,,556700,,96082.5,,,,
27781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65266.1,
27780,,,,,,,,,,,,,,,,,,,,60029.5,,,,,,,,,,,,
27778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69526,,
27764,,,161159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27762,,,,,,,,,,,,,,,,195385,,,,,,,,,,,,,,,,
27760,,,,,,,,,,,,,,,,,,,,,,,,,,234807,,,,,,
27759,,,,,,,,,,,,,,,,,,,72931.6,,,,,,,,,,,,,
27755,,,,,,,,,,,,,,,,,,,,,,,,,,,,78638.3,,,,
27754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46461.5,
27743,,,,,,,,,,35159.4,,,,,,,,,,,,,,,,,,,,,,
27712,,131083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75440,,,
27708,,,,,,,,,,,,,,,,,,104459,43115.4,,,,,,,,,,,,,
27706,,,,,,,,,,,,,,,,,,,,,,,,,,,,71220.6,,,,
27705,,,,,,,,,,,,,,,,,,,,,,,,252323,,,,,,,,
27704,,,,,,,70358.5,70358.5,,,,,,,,,,,,,,,,,,,,,,,,
27702,,,,,,,,,,,,,,315302,199619,,,,,,,,,,,,,,,,,
27700,,,136691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27695,,,,,74241.4,74241.4,,,,,,,,,,,,,,,,,,,,,,,,,,
27689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48828.3,,
27678,,201104,,,,,,,,,,,,,,,,,,,,,,476162,,,,,,,,
27677,,,,,,,,,,,,,,310972,,,,,,,,,,,,,,,,,,
27663,,,,,,,82520.5,82520.5,,,,,,,,,,,,,,,,,,,,,,,,
27662,,,,,,,,,,,,,,,,,,73644.7,,,,,,,,,,,,,,
27661,,,,,,,,,39531.5,,,,,,,,,,,,,,,,,,,,,,,
27660,,,,,,,,,,,,30231.5,,,,,,,,,,,,,,,,,,,,
27659,,,,190976,,,,,,,,,,,,,,,58061.8,,,,,,,396851,,,64682.3,,,
27658,,,,,,,,,,,,,,,,,123556,,,,,25780.7,,,,,,113879,,,,
27657,,,,,78381.9,78381.9,,,,,,,,,,285707,,,,56497.7,,,,,,,,,,,58317.1,
27655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51531.7,,
27652,,,,,,,,,,,35032.7,,,,,,,,,,,,,,,,,,,,,
27645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35966.9
27603,,,,,,,,,,,,,,,,,,,59363.2,,,,,,,,87324.7,,,,,
27600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73446.1,,,
27599,,,,,,,58867.7,58867.7,,,,,,,,,,,,,,,,,,,,,,,,
27598,,,,,,,,,,,,,,,,,,76309.9,,,,,,,,,,,,,,
27569,,145683,,,,,,,,,,,,,,,,,,,,,,561760,,,,,,,,
27568,,,,,,,,,,,,,,380102,,,,,,,,,,,,,,,,,,
27565,,,,,,,,,,,,,,,,,,,,,28661.6,26123.4,,,,,,,,,,
27564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42511.8,
27563,,,,,,,,,,,,,,,,,,,,,,,,,,,,83113.4,,,,
27562,,,,,,,,,,,,,,,,,,,37308.6,55960.2,,,,,,,,,,,,
27561,,,,,,,,,,,,,,,,,,,,,,,,,,,96623.4,,70336.4,,,
27560,,,,,,,,,,,,,,,,,,64614.6,,,,,,,,,,,,,,
27532,,,,,,,,,,35641.6,,,,,,,,,,,,,,,227786,,,,,,,
27531,,,136380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27526,,,,,,,,,,,,,21047.7,,,,,,,,,28531.5,,,,,,,,,,
27525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33826.5,
27520,,,,,,,64326.8,64326.8,,,,,,,,,,,,,,,,,,,,,,,,
27515,,,,,,,,,,,,,,,,,,,,,,,,,,,,80697,,,,
27510,,112722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27509,,,,,,,,,,,,,,,,,,,,,,,,271776,,,,,,,,
27446,,,,,,,,,,,,,,,,,,,,,,,,332781,,,,,,,,
27441,,,,,,,,,39179.4,,,,,,,,,,,,,,,,,,,,,,,
27424,,,,,,,,,,,,,,,,,,,51407.2,,,,,,,,,,,,,
27395,,,,,,,,,,,,,,,,,,,,,17671.8,,,,,,,,,,,
27371,,,,,,,,,,,,,,,,,,,32239.4,,,,,,,,,,,,,
27337,,71830.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27294,,,,,,,,,,,,,,,,,,,,,,,,,,,,63482.3,,,,
27249,,,,,,,,,,,,,,,,,,,,,22605,,,,,,,,,,,
