,Sample name,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Name,
31094,,,,,,,101567,101567,,,,,,,,,,,,,,,,,,,,,,,,
31091,,,,,,,,,,,,,58785.2,,,,,,,,,,,,,,,,,,,
31088,,,,,,,,,,,,,,,,,,,,,,,51248.4,206526,,,,,,,,
31085,,,,,,,,,,,,,,,,,,,,,,,,,,,,197485,,,,
31084,,,,,,,,,,82031.2,,,,,,,,,,132822,,,,,,,,,,,,
31080,,,,,,,,,,,,45234.3,,,,,,,,,,,,,,,259782,,,,,
31076,,,,,173862,173862,,,,,,,,,,,,,,,,,,,,,,,,,,67131
31071,,,,,,,,,,,,,,,,,181770,163737,,,,,,,,,,,,,,
31068,,,,,,,132974,132974,,,,,,,,,,,,,,,,,363841,,,,,,,
31067,,,,,,,,,,,,,,297020,,,,,,,,,,272892,,,,,,,,
31066,,,,,,,,,118602,,,,,,,,,,,,,,,,,,,,,,,
31064,,,,,,,,,,,,,57224.4,,,,,,,,,,,,,,,,,121955,,
31061,,,,,,,,,,,,,,,304869,,,,,,,,,,,,,,,,,
31059,,,,,,,,,,,,,,,,,,,,,,,,,,,233439,,,,,
31058,,,,,,,,,,,78306.6,,,,,,,,,,,,,,,,,,,,,
31055,,,218139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31053,,,,,,,,,,,,,,,,,246375,,,,,,,,,,,,,,,
31049,,,,,,,,,,,,76395.2,,,,,,,,142931,,106732,,,,,,,,,109476,
31047,,,,,,,,,,85122,,,,,,,,,,,,,,,,,,,,,,115385
31046,,,,,,,,,114829,,,,66746.7,,,,,,141721,,95010.6,,,,,,,,,,,
31045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150575,,,
31044,,,,,,,,,,,,,,,,,,,,,,,86651.3,,,,,,,,,
31043,,,,,,,175130,175130,,,,,,,,,,,,,,,,,,,,,,,,
31042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105851,,
31041,,,,,192512,192512,,,,,,,,,,,,210329,,,,,,,,,,,,,,
31040,,,,,,,,,,,,,,299608,,,,,,,,,,,,,,,,,,
31037,,,,,,,,,,,,,,,,,,,,,,,,289794,,,,,,,,
31036,,,209178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31035,,,,,,,,,,,,,,,,,,,,,,,,,,188653,,,,,,
31033,,,,,,,,,,,,,,,,,,,,,,,,,376525,,,,,,,
31031,,,,,,,,,,,78631.2,,,,,,,,,,,,,,,,,,,,,
31026,,,,,,,,,,,,,,,,,234467,,,,,,,,,,,202439,,,,
31025,,,,,,,,,,,,,,,,,,,,110977,,,,,,,,,,,,
31024,,,,,,,127456,127456,,,,,,,,,,,,,,,,,,,,,,,,
31020,,,,,,,,,,,,,,,335388,,,,,,,,,,,,,,,,,
31019,,,220630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31008,,,,,188530,188530,,,,,,,,305629,,,252044,,,,,,,,,415387,,,,,,
31006,,,,,,,,,,,,,,,,372807,,,,,,,,,,,,,,,,145083
31005,,,,,,,,,,,,,,,,,,,,,,,136544,,,,,,135786,184335,128045,
31004,,158066,,,,,,,,,,134952,98761.1,,,,,219670,,,149958,146753,,,,,,,,,,
31003,,,,,,,,,209974,,,,,,,,,,,139343,,,,,,,317276,,,,,
31002,,,,,,,,,,132539,,,,,,,,,261593,,,,,,,,,,,,,
31001,,,,,,,,,,,,,,,369877,,,,,,,,,,,,,,,,,
30999,,,,,,,,,,,119310,,,,,,,,,,,,,,,,,,,,,
30998,,,283101,,,,,,,,,,,,,,,,,,,,,447654,,,,,,,,
30996,,,,,,,,,,,,,,,,,,,,,,,,,485628,,,,,,,
30994,,,,213316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989,,,,,,,182963,182963,,,,,,,,,,,,,,,,,,,,,,,,
30987,,,,,,,,,,,,,,,,,,,,,,,,,,,,230396,,,,
30986,,,,,,,,,,,,,,,,,282171,,,158050,,,,,,,,,,,,
30985,,,,,,,,,,,,,,,,,,,,,,,,,,,240284,,,,,
30984,,,,,,,,,,,,,,,,274505,,175290,,,,,,,,,,,,,,
30983,,,,,203505,203505,,,,,,,,,,,,,,,,,,,,,,,,112750,,
30981,,,,,,,,,,,,,,,,,,,,,,79085.7,,,,,,,,,,
30977,,,,,,,,,,,,,,,346746,,,,,,,,,,,,,,,,,
