,Sample name,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Name,
29587,,,,,,,,,,,,,,,,,,,,,,,,1219030,,,,,,,
29586,,,,,321986,,,,,,,,,,,,,,,,,,,,,,,,,,
29585,,,,,,,,,,,,,,,,,,,,,,,,,187441,,,,,,
29584,,,,,,,,,,,,,,,218590,,,,,,,,,,,,,,,,
29573,,,,,,,,,,,43585.8,,,,,,,,,,,,,,,,,,,,
29572,,,,,,,104116,,77336.5,84821.3,,,,,,,,,,63038.8,,,,,,,,,,,
29571,,,,,,,,,,,,,,,,,59650.7,,,,82146.6,,7797380,,,,104255,,107628,70299,
29570,,2037730,7138080,3154310,,,,,,,,2665490,8156860,2168990,,,,,92919.5,,,3089130,,1611650,,,,59904.1,,,
29569,,,,,,,,,,,,,,,,,,101712,,,,,,,,,,,,,
29549,,,,,,,49480.5,,,,,,,,,,,,,,,,,,,,,,,,
29541,,,,,,,,,,,,138895,,,,,,,,,,,,,,,,,,,
29538,,,,,,,,,,,,,,,,,,,,,,99342.4,,,,,,,,,
29535,,,146835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29533,,,,127874,80421.6,,,,,,,,119444,,,,,,,,,,113004,,,,,,,,
29532,,,,,,,,,,,,,,,39616.4,,,,,,,,,119778,,,,,,,
29531,,,,,,,,,,,,,,109878,,,,,,,,,,,,,,,,,
29527,,,,,,,,,,,,,,,,42815.9,,,,,,,,,,,,,,,
29515,,,96226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29499,,,,,,,,,,,,,,,,86483.5,,,,,,,,,,,65120.9,,,,
29498,,,,,,,103128,,,,,,,,,,130974,,,,,,,146446,,86311.5,,,,,
29483,,141738,,,,,,,,,,,950433,,,,,,,,,,,,,,,,,,
29482,,,828926,289637,,,,,,,,,,,,,,,,,,239480,855862,,,,,,,,
29481,,,,,,,,,,,,193997,,228730,,,,,,,,,,145475,,,,,,,
29474,,,,,,,,,,,,,,,,,,32050.3,,,,,,,,,,,,,
29462,,,,,,,,,,,,,,,,,,,,,,,,,,45976.1,,,,,
29458,,,71211.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29456,,,,131729,,,,,,,,,,,,,,,,,,,,,,,,,,,
29455,,,,,,,,,,,,,,138882,,,,,,,,,,,,,,,,,
29453,,,,,,,,,,,,,,,,,,,,,,,,113882,,,,,,,
29438,,,,,,,,,,,,,,,80580.4,,,,,,,,,,,,,,,,
29436,,,,,,,,,,,,,,100572,,,,,,,,,,,,,,,,,
29435,,,,150472,,,,,,,,,,,,,,,,,,,,,,,,,,,
29434,,,,,,,,,,29554.3,,,,,,,,,,,,120632,,89368.3,,,,,,,
29433,,,604399,,,,,,,,,,597864,,,,,,,,,,536068,,,,,,,,
29412,,,,,,,,,,,,,,,65361.9,,,,,,,,,,,,,,,,
29406,,,,72221.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
29405,,,,,,,,,,,,,,,,,,,,,,,,61637.3,,,,,,,
29403,,,,,,,,,,,,,,80155.6,,,,,,,,,,,,,,,,,
29399,,,,,,,,,,,,,108083,,,,,,,,,,,,,,,,,,
29396,,,,,61544.3,,,,,,,,,,,,,,,,,,,,,,,,,,
29394,,,,,,,,,,,,,,,,,,,,,,,152019,,,,,,,,
29393,,,,,,,,,,,,,,,56598.7,,,,,,,,,,,,,,,,
29392,,,102940,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29385,,,,83146.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
29368,,,,,,,,,,,,,213044,,,,,,,,,,189832,,,,,,,,
29367,,,232213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29366,,,,,,,,,,,,188032,,,,,,,,,,,,,,,,,,,
29358,,,,,,,,,,,,,,,66633.8,,,,,,,,,,,,,,,,
29355,,,,,,,,,,,,,,,,,,,,,,89422.8,,,,,,,,,
29352,,,,,66312.2,,,,,,,,,,,,,,,,,,,,,,,,,,
29345,,,,,,,,,,,,,,,,,,,,,,,,,,48787.6,,,,,
29343,,,,,,,,,,,,,,,,,,,,,,,,282894,,,,,,,
29342,,,,449450,,,,,,,,,431089,346344,,,,,,,,,477641,,,,,,,,
29341,,,409142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29313,,,,,,,,,,,,,,63575.1,,,,,,,,,,,,,,,,,
29298,,,,40143.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
29297,,,,,,,,,,,,,127287,,,,,,,,,,,,,,,,,,
29280,,,234671,,,,,,,,,,,,,,,,,,,187338,,,,,,,,,
29279,,123456,,,,,,,,,,237925,,,,,,,,,,,184055,,,,,,,,
29278,,,,,,,,,,,,,156583,,,,,,,,,,,,,,,,,,
29248,,,,,,,,,,,,,,50416.5,,,,,,,,,,,,,,,,,
29247,,,,,,,,,,,,,66374.4,,,,,,,,,,,,,,,,,,
29243,,,,,,,,,,,,,,,,,,,,,,,52164.6,,,,,,,,
29238,,,,38854,,,,,,,,,,,49103.5,,,,,,,,,,,,,,,,
29222,,,78099,,,,,,,,,,111430,,,,,,,,,,94568.1,,,,,,,,
29220,,,,,,,,,,,,,,,,,,,,,,98585.9,,,,,,,,,
29191,,,49132.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29187,,,,,,,,,,,,,,,,,,,,,,,67155,,,,,,,,
29178,,,,,,,,,,,,,34493.7,,,,,,,,,,,,,,,,,,
29166,,,,,,,,,,,,,,,,,,,,,25330.2,,,,,,,,,,
29165,,,,,,,,,,,,,,,53224.3,,,,,,,,,,,,,,,,
29145,,,,,,,,,,,,,,,,,,,,,,,59919.8,,,,,,,,
29122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40928.1
29118,,,,,,,,,,,,,,,,,,,,,,,86173.9,,,,,,,,
29113,,,,38042.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
29111,,68565.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29110,,,,,,,,,,,,,,43408.9,,,,,,,,,,,,,,,,,
29100,,,,,,,,,,,,,,,,,,,,,,,58788.3,,,,,,,,
29079,,,,44143.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
29069,,,,,,,,,,,,,,,39030.7,,,,,,,,,,,,,,,,
29068,,,,,,,,,,,,,,,,,,,,,,,,,52001,,,,,,
29065,,,,,,,,,,,,,,,,,,,,,,,71693.9,,,,,,,,
29062,,,,,,,,,,,,,,42053.1,,,,,,,,,,,,,,,,,
29051,,,,,,,,,,,,,33367,,,,,,,,,,,,,,,,,,
29049,,,71265.5,,,,,,,,,,,,,,,,,,,,62425.5,,,,,,,,
29047,,,,,,,,,,,,,,,37981.7,,,,,,,,,,,,,,,,
29022,,,44017.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29012,,,,,,,,,,,,,,,,,,,,,,,48414.1,,,,,,,,
29003,,,,,,,,,,,,,62361.2,,,,,,,,,,,,,,,,,,
28988,,93066.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28987,,,82041,,,,,,,,,367044,,,,,,,,,,248153,,,,,,,,,
28959,,,,,,,,,,,,,,,,,,,,,,,63242.9,,,,,,,,
28958,,,,,,,,,,,,,,62630.2,,,,,,,,,,,,,,,,,
28954,,,,49443.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
28854,,,,,,,,,,,,,,37206.4,,,,,,,,,,,,,,,,,
28839,,,,,,,,,,,,,32219.8,,,,,,,,,,,,,,,,,,
28826,,,,,,,,,,,,396746,,,,,,,,,,264000,,,,,,,,,
28825,,169711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28815,,,,,,,,,,,,,,,,,,,,,,,39670.4,,,,,,,,
28814,,,,,,,,,,,,,39809.4,,,,,,,,,,,,,,,,,,
28795,,,,,,,,,,,,,,,,,,,,,,,68211.8,,,,,,,,
28781,,,,,,,,,,,,,58642.8,,,,,,,,,,,,,,,,,,
28762,,,,,,,,,,,,,55565.4,,,,,,,,,,,,,,,,,,
28757,,,64724,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28740,,,,,,,,,,,,,35239.9,,,,,,,,,,,,,,,,,,
28712,,,,,,,,,,,,,57146.4,,,,,,,,,,,,,,,,,,
28705,,70595.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28653,,,,,,,,,,,64385.8,,,,,,,,,,,,,,,,,,,,
28614,,,,,,,,,,,,,,,,,,,,,42364.6,,,,,,,,,,
28552,,,,,,,,,,,36947.5,,,,,,,,,,,,,,,,,,,,
28447,,,,,,,,,,,37370.4,,,,,,,,,,,,,,,,,,,,
28403,,,,,,,,48362.1,,,,,,,,,,,,,,,,,,,,,,,
28398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39482.7,,
28383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22766.6,
28352,,,,,,,,46711.1,,,,,,,,,,,,,,,,,,,,,,,
28349,,,,,,,,,38381.8,,,,,,,,,,,,,,,,,,,,,,
28335,,,,,,,,,,,,,,,,,,,,,,,,,,,,71466.4,,,
28310,,,,,,,,48211.6,,,,,,,,,,,,,,,,,,,,,,,
28308,,,,,,,,,,39962.1,,,,,,,,,,,,,,,,,,,,,
28287,,,,,,,,,,,,,,,,,,,,,,,,,,,42347.5,,,,
28270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34937.6,,
28241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39413.8
28223,,,,,,,,,,,,,,,,,,,,,,,,,,,,68066.6,,,
28215,,,,,,,,,,,35799.9,,,,,,,,,,,,,,,,,,,,
28208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22716.8,
28197,,,,,,,,,,,,,,,,,50198,,,,,,,,,,,,,,
28194,,,,,,,,,49718.2,,,,,,,,,,,,,,,,,,,,,,
28179,,,,,,,,,,,,,,,,,,,,,36035.8,,,,,,,,,,
28178,,,,,,,,51583.9,,,,,,,,,,,,60898.3,,,,,,,,,,,
28174,,,,,,,,,49921.1,,,,,,,,,,,,,,,,,,,,,,
28153,,,,,,,,,,,,,,,,,,46820.9,,,,,,,,,,,,,
28131,,,,,,,,,,,,,,,,,,,,25061,,,,,,,,,,,
28107,,,,,,,,,48409.4,,,,,,,,,,,,,,,,,,,,,,
28102,,,,,,,,,,18910.5,,,,,,,,,,,,,,,,,,,,,
28093,,,,,,43932,,,,,,,,,,,,,,,,,,,,,,,,,
28080,,,,,,,,,,,,,,,,,,,42453.2,,,,,,,,,,,,
28073,,,,,,,,61322.3,,,,,,,,,51081.6,,,,62938.2,,,,,,,,,,39898
28072,,,,,,,,,,,,,,,,,,53299.3,,,,,,,,,,,,,
28070,,,,,,,,,59269.4,,,,,,,,,,,,,,,,,,,,,,
28058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34727.9,
28056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43437
28055,,,,,,75009.5,,,,,,,,,,,,,,,,,,,,,,,,,
28054,,,,,,,,,,,,,,,,,,60422.2,,,,,,,,,,63512.7,,,
28045,,,,,,,,66638.9,,,,,,,,,,,,,,,,,,,,,,,
28038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54280.9,,
28030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59726.3
28027,,,,,,,,,,,,,,,,,48380.8,,,,,,,,,,,,,,
28025,,,,,,,,,,,,,,,,,,71603.2,,,,,,,,,,,,,
28014,,,,,,,,,,,47324,,,,,,,,,,,,,,,,,,,,
28013,,,,,27182.7,,,,,,,,,,,,,,,,,,,,,36494.6,,,,,
28012,,,,,,,,,,,,,,,,,,,,,,,,,,,47852,,,,
28009,,,,,,,,78512.5,,,,,,,,,,,,,,,,,,,,,,,
28005,,,,,,,,,,,,,,,,,47942.1,,,,,,,,,,,,46075.9,,
28004,,,,,,,,,,,,,,,,,,,,,,,,,48455.8,,,,,,
27993,,,,,,,,,,,,,,,,,,69068,,,,,,,,,,,,,
27983,,,,,,,,,,,,,,,,,,,,,,,,,42760.1,,,,,,
27981,,,,,,,,,61559.3,,,,,,,57831.8,,,,,,,,,,,,,,,
27978,,,,,,,,68325.3,,,,,,,,,,,,,,,,,,,,,,,
27977,,,,,,,,,,,,,,,,,65621.7,,,,,,,,,,,,,,
27976,,,,,,,,,,,,,,,,,,,,,,,,,,,,46303.1,,,
27974,,,,,,,,,,,58102.8,,,,,,,,,,,,,,,,,,,,
27971,,,,,,,,,,,,,,,,,,,,,,,,,,,64523.9,,,,
27965,,,,,,45284.3,,,,,,,,,,,,,,,,,,,39101.5,,,,,,
27957,,,,,,,,51365.4,,,,,,,,,,,,,,,,,,,,,,,
27954,,,,,,,,,,,,,,,,,,52059.6,,,,,,,,,,,,,
27951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45921.7
27948,,,,,,,,,,,,,,,,56718.8,,,,,,,,,,,,,,,
27947,,,,,,,,,,,,,,,45314.5,,,,,,,,,,,,,,,,
27946,,,,,32222.6,,,,,,38715.9,,,,,,,,,,,,,,,,,,,,
27945,,,,,,,,,,,,,,,,,42738.8,,,,,,,,,,,,,,
27943,,,,,,41031.4,,,,,,,,,,,,,,,,,,,,,,,,,
27940,,,,,,,,,,,,,,,,,,,,,,,,,48893.2,,,,,,
27938,,,,,,,,,,,,,,,,,,,33425.3,,,,,,,,,,,,
27937,,,,,,,,48450.2,,,,,,,,,,,,,,,,,,,,,,,
27936,,,,,,,,,,,,,,,,,,,,,34564.5,,,,,,,,,,
27932,,,,,,,,,55951.8,,,,,,,,,,,,,,,,,,,,,,
27924,,,,,,,,,,,,,,,,,47969.5,,,,,,,,,,,,,,
27916,,,,,,,,,,,,,,,,,,,,,,,,,,,,43197.9,,,
27914,,,,,,,,,,,,,,,,,,54487.6,,,,,,,,,,,,,
27904,,,,,,,,,,,,,,,,,,,,,,,,,35589.5,,,,,,
27903,,,,,,61520.4,,,,,,,,,,,,,,,,,,,,,,,,,
27902,,,,,,,,,,,,,,,,,,,,,,,,,,,40640.1,,,,
27886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49408.3,
27883,,,,,,,,51350.8,,,,,,,,,,,,,,,,,,,,,,,
27881,,,,,,,,,,,,,,,,,,,,,,,,,,,63867,,,,
27880,,,,,,,,,,,44025.3,,,,,,,,,,,,,,,,,,,,
27879,,,,,,,,,56052.6,,,,,,,,,,,,,,,,,,,,,,
27878,,,,,,,,,,,,,,,,,,,,,28678.2,,,,,,,,,,
27877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60579.6,,
27876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48808
27845,,,,,,,,,,,,,,,,,,,,,,,,,41286.5,,,,,,
27836,,,,,,,,,,,,,,,,49906.9,,,,,,,,,,,,,,,
27832,,,,,,57560.9,,,,,,,,,,,,,,,,,,,,,,,,,
27831,,,,,24691,,,,,,,,,,,,,,,,,,,,,,,56844.4,,,
27827,,,,,,,,,,,,,,,,,50284.4,,,,,,,,,,,,,,
27823,,,,,,,,,,,,,,,,,,,,,,,,,,,54922,,,,
27820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44678,48006.4,
27819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47806.1
27816,,,,,,,,,,,,,,,,,,,,,,,,,,60278.4,,,,,
27809,,,,,,,,,,,,,,,,,,,,33111.3,,,,,,,,,,,
27808,,,,,,,,,,,,,,,,,,,,,25985.5,,,,,,,,,,
27798,,,,,,,,,,,,,,,,,,,,,,,,,43631.2,,,,,,
27787,,,,,25242.9,,,,,,,,,,,,,,,,,,,,,,,,,,
27783,,,,,,,,,,,,,,,,,,31964,,,,,,,,,,,,,
27773,,,,,,61535.9,,,,,,,,,,,,,,,,,,,,,,,,,
27767,,,,,,,,,,,,,,,,,,,,,,,,,31962.9,,,,,,
27765,,,,48408.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
27753,,,,,,,,,,,,,,,,,51008.1,,,,,,,,,,,,,,
27752,,,,,,,,,,21326.8,,,,,,,,,,,,,,,,,,,,,
27737,,,,,,,,,,,,,,,,,,,,,,,,,,,,56740.9,,,
27723,,,,,,,,,,,,,,,,,,,,,,,,,,,38657.2,,,,
27720,,,,,,,,65095.4,,,,,,,,,,,,,,,,,,,,,,,
27717,,,,,,58726.8,,,,,,,,,,,,,,,,,,,,,,,,,
27712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48606.1
27710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48672.9,,
27700,,,,,,44718.3,,,,,,,,,,,,,,,,,,,,,,,,,
27693,,,,,,,,,,,,,,,65773.9,,,,,,,,,,,,,,,,
27690,,,,,,,,,,,,,,,,,,,,,,,,,52388.3,,,,,,
27689,,,,,,,,,,,,,,,,,,55139.1,,55493,,,,,,,,,,,
27686,,,,,,,,,,,,,,,,,,,,,,,,27281.4,,,,,,,
27683,,,,,,,,,,,,,,,,56150.9,,,,,,,,,,,,,,,
27679,,,,,,,,40687.6,,,,,,,,,,,,,,,,,,,,,,,
27671,,,,,,,,,,,,,,,,,,,,,,,,,46058.3,,,,,,
27668,,,,,,,,,,,,,,,,,,,,,,,,,,43923.2,,,,,
27665,,,,,,,,,,,,,,,44040.8,,,,,,,,,,,,,,,,
27662,,,,,,,,,,,,,,,,,,,,,,,,27459.7,,,,,,,
27657,,,,,,,,,,,,,,43408.7,,,,,,,,,,,,,,,,,
27655,,,,,,,,,,,,,,,,,,,,,,,,,,,,63290.2,,,
27645,,,,,,,,66323.5,,,,,,,,,,,,,,,,,,,,,,,
27637,,,,,,,,,,,,,,,,,39834.9,,,,,,,,,,,,,,
27635,,,,,,,,,,,,,,,43087.6,,,,,,,,,,,,,,,,
27633,,,,,44172.3,,,,,,,,,,,,,,,,,,,,,,,,,,
27632,,,,,,,,,,,,,,,,,,,,,,,,,50782.2,,,,,,
27619,,,,,,,,,,,,,,,,,,,36683.6,,,,,,,,,,,41032.9,
27617,,,,,,,,,42684,,,,,,,,,,,,,,,,,,,,,,
27613,,,,,,,,,,,,,,,,,,56701.1,,,,,,,,,,,,,
27599,,,,,,,,,,,,,,,,,,,,,,,,,,35269.5,,,,,
27593,,,,,37647.8,,,,,,,,,,,,,,,,,,,,,,,,,,
27591,,,,,,,,,,,,,,,,,60902.4,,,,,,,,,,,,,,
27585,,,,46102.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
27579,,,,,,,,,,,,,,,,,,57709.9,,,,,,,,,,,,,
27562,,,,,,,,,,,,,,,,,,,,,,,,49253.7,,,,,,,
27558,,,,,,,,,,,,,,,,,,,,,,,,,53274,,,,,,
27556,,,,,,,,,,,,,,,,,,49614.5,,,,,,,,,,,,,
27552,,,,,,,,,,,,,,,,,40848.9,,,,,,,,,,,,,,
27549,,,,,,,,,44662.6,,,,,,,,,,,,,,,,,,,,,,
27537,,,,,,,,,,,,,,,,40756.7,,,,,,,,,,,,,,,
27530,,,,,,,,,47559.6,,,,,,,,,,,,,,,,,,,,,,
27528,,,,,,,,,,,,,,,,,,,,,,,,,43072.3,,,,,,
27520,,,,,,,,,,,,,,,,,,,,25034.6,,,,,,,,,,,
27516,,,,,,,,,,,,,,,,,,,,,,,,,,,,56458.2,,,
27511,,,,,,,,,,,,,,,,,,,,,,,,,,,68200.4,,,,
27502,,,,,,,,,,,,,,39866.6,,,,,,,,,,,,,,,,,
27494,,,,,,,,,,,,,,,,,41170.9,,,,,,,,,,,,,,
27485,,,,,,,,,,18779.2,,,,,,,,,,,,,,,,,,,,,
27480,,,,,36249.8,,,,,,,,,,,,,,,,,,,,,,,,,,
27476,,,,,,,,,,,,,,,,,,,,,,,,38433.2,,,,,,,
27475,,,,,,,,,,,,,,53451,,,,,,,,,,,,,,,,,
27474,,,,43692.4,,46092.6,,,,,,,,,,,,,,,,,,,,,,,,,
27462,,,,,,,,,,,,,,,,,62154.8,,,,,,,,,,,,,,
27458,,,,,,,,,,,,,,,,84120.4,,,,,,,,,,,,,,,
27457,,,,,,75564.4,,,,,,,,,,,,,,,,,,,,,,,,,
27456,,,,,,,,,,,,,,,,,,,,,,,,,,40928.8,,,,,
27454,,,,,,,,68283.9,,,,,,,,,,,,,,,,,,,,,,,
27453,,,,,,,,,,,,,,,,,,,,,,,,41823.7,,,,,,,
27451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33503.4
27419,,,,43333,,,,,,,,,,,,,,,,,,,,,,,,,,,
27415,,,,,,,,,,,,,,60080.3,,,,,,,,,,,,,,,,,
27414,,,,,,,,,,,,,,,,41748.2,,,,,,,,,,,,,,,
27410,,,,,,48767.8,,,,,,,,,,,,,,,,,,,,,,,,,
27405,,,,,,,,,,,,,,,,,,,,,,,,,45258,,,,,,
27403,,,,,,,,,,,,,39295.4,,,,,,,,,,,,,,,,,,
27400,,,,,39607.5,,,,,,,,,,,,,,,,,,,,,,,,,,
27394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25486.5,
27384,,,,,,49253.9,,,,,,,,,,,,,,,,,,,,,,52908.6,,,
27380,,,,,,,,,,,,,,,,,,,,,,,,,34305.7,,,,,,
27367,,,,,,45791.6,,,,,,,,,,,,,,,,,,,,,,,,,
27346,,,,,,,,,,,,,38942.4,,,,,,,,,,,,,,,,,,
27341,,,,,,,,,,,,,,,,,,,,,,,,24587.8,,,,,,,
27336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42613.2,,
27333,,,,,,,,,,,,,,39698.2,,,,,,,,,,,,,,,,,
27324,,,,,,,,,,,,,,,33317,,,,,,,,,,,,,,,,
27307,,,,,,,,,,,,,,,,,,,,,,,,,34373,,,,,,
27304,,,,,30631.5,,,,,,,,,,,,,,,,,,,,,,,,,,
27301,,,,,,,,,,,,,,,42099.1,,,,,,,,,,,,,,,,
27299,,,,,,,,,,,,,,,,,,,,,,,,40162.8,,,,,,,
27252,,,,,,,,,,,,,39918.6,,,,,,,,,,,,,,,,,,
27230,,,,,,,,,,,,,,,,,,,,,,,,31361.5,,,,,,,
27208,,,,,,,,,,,,,,,,,,,,,,,,34607.9,,,,,,,
27207,,,,31780.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
27194,,,,,,,,,,,,,,,,,,,,,,,,,30771.8,,,,,,
27177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37340.7
27171,,77715.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19239.3,
27081,,,,,,,,,,,,,39961,,,,,,,,,,,,,,,,,,
27063,,,,,,,,,,,,,,,,,,,,,,,38215.6,,,,,,,,
27041,,,,,,,,,,,,,,,,,,,,,,,,43148.5,,,,,,,
27038,,,,,,,,,,,,,61957.2,,,,,,,,,,,,,,,,,,
27024,,,46890,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27012,,,,,26330.6,,,,,,,,,,,,,,,,,,,,,,,,,,
