"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
30431,30430,0.014476317189233,"HexNAc(1)Hex(1)NeuAc(2) _ H4N6F1S1","CE",NA,26914233.3333333,NA,NA,30431,NA,NA,2,NA
30436,0,0,"","C2 & CE",399773000,9830616.66666667,NA,30437,30435,NA,3,4,NA
30446,30446,0.00139704746756995,"HexNAc(2)Hex(2)NeuAc(2) _ H4N5F2","HILIC",NA,NA,464671,NA,NA,30446,NA,NA,8
30450,0,0,"","C2",61444100,NA,NA,30450,NA,NA,1,NA,NA
30462,30462,0.00029659998218711,"HexNAc(2)Hex(2)NeuAc(1) _ H5N5F1S1","HILIC",NA,NA,477589,NA,NA,30462,NA,NA,4
30465,0,0,"","CE",NA,1737623.33333333,NA,NA,30465,NA,NA,2,NA
30478,30477,0.0135436489680101,"HexNAc(1)Hex(1)NeuAc(2) _ H5N4F1S2","C2 & CE & HILIC",181037000,2344250,2005686.66666667,30479,30478,30478,3,6,6
30484,0,0,"","C2",24413440,NA,NA,30484,NA,NA,6,NA,NA
30489,30487,0.00194067285425281,"HexNAc(2)Hex(2)NeuAc(2) _ H3N6F2","CE",NA,4192503.33333333,NA,NA,30489,NA,NA,2,NA
30492,0,0,"","HILIC",NA,NA,681730.666666667,NA,NA,30492,NA,NA,8
30495,0,0,"","CE & HILIC",NA,1163583.33333333,1503453.33333333,NA,30495,30496,NA,8,5
30512,0,0,"","C2",31480566.6666667,NA,NA,30512,NA,NA,1,NA,NA
30519,30518,0.0035392358878206,"HexNAc(1)Hex(1)NeuAc(2) _ H4N5F1S2","C2",61213966.6666667,NA,NA,30519,NA,NA,5,NA,NA
30528,0,0,"","C2 & CE & HILIC",132933333.333333,9223636.66666667,2282923.33333333,30528,30529,30530,2,2,7
30534,30534,0.00424990714588,"HexNAc(1)Hex(1)NeuAc(2) _ H5N5S2","CE",NA,4535720,NA,NA,30534,NA,NA,4,NA
30537,0,0,"","CE",NA,2360283.33333333,NA,NA,30537,NA,NA,8,NA
30541,0,0,"","C2 & CE",268363000,1631543.33333333,NA,30542,30540,NA,4,10,NA
30551,30550,0.00113924531190227,"HexNAc(2)Hex(2)NeuAc(2) _ H5N4F1S1","HILIC",NA,NA,1039437,NA,NA,30551,NA,NA,8
30554,0,0,"","C2 & CE",83560500,3260343.33333333,NA,30554,30554,NA,1,2,NA
30557,30559,0.000134623972056278,"HexNAc(1)Hex(1)NeuAc(3) _ H3N6F3","CE",NA,1044767,NA,NA,30557,NA,NA,3,NA
30568,0,0,"","HILIC",NA,NA,501493.666666667,NA,NA,30568,NA,NA,6
30577,30575,0.000743204899432815,"HexNAc(1)Hex(1)NeuAc(2) _ H4N6S2","CE & HILIC",NA,1684030,211320.666666667,NA,30577,30576,NA,4,4
30582,0,0,"","C2",51851366.6666667,NA,NA,30582,NA,NA,4,NA,NA
30589,0,0,"","C2",27136240,NA,NA,30589,NA,NA,3,NA,NA
30594,30592,0.00199089544095124,"HexNAc(2)Hex(2)NeuAc(2) _ H4N5F3","C2 & CE & HILIC",190028666.666667,5678010,895915,30594,30595,30593,1,2,8
30609,30608,0.000729825248877694,"HexNAc(2)Hex(2)NeuAc(2) _ H5N5F2","HILIC",NA,NA,757658,NA,NA,30609,NA,NA,5
30616,30616,5.97081747531575e-05,"HexNAc(1)Hex(1)NeuAc(3) _ H3N7F2","C2",42481366.6666667,NA,NA,30616,NA,NA,2,NA,NA
30632,30633,0.00579732059845954,"HexNAc(2)Hex(2)NeuAc(2) _ H3N6F3","C2 & CE",47211833.3333333,1415673.33333333,NA,30632,30632,NA,3,4,NA
30635,30633,0.00579732059845954,"HexNAc(2)Hex(2)NeuAc(2) _ H3N6F3","CE & HILIC",NA,982848.333333333,838673.666666667,NA,30635,30635,NA,8,7
30638,0,0,"","CE",NA,701472.666666667,NA,NA,30638,NA,NA,10,NA
30643,0,0,"","HILIC",NA,NA,312571.666666667,NA,NA,30643,NA,NA,6
30653,0,0,"","C2 & CE",19398433.3333333,2589723.33333333,NA,30654,30652,NA,1,2,NA
30656,0,0,"","C2 & CE",70589533.3333333,2633070,NA,30657,30656,NA,2,3,NA
30660,0,0,"","HILIC",NA,NA,92002.2,NA,NA,30660,NA,NA,3
30666,0,0,"","C2",6046790,NA,NA,30665,NA,NA,7,NA,NA
30670,0,0,"","HILIC",NA,NA,121784.833333333,NA,NA,30670,NA,NA,9
30675,0,0,"","CE & HILIC",NA,740979.333333333,526363,NA,30675,30676,NA,4,7
30678,30679,1.43141730533779e-05,"HexNAc(1)Hex(1)NeuAc(3) _ H5N5F1S1","CE",NA,424043,NA,NA,30678,NA,NA,9,NA
30688,30690,0.00257121689477561,"HexNAc(2)Hex(2)NeuAc(2) _ H3N7F2","C2",27580333.3333333,NA,NA,30688,NA,NA,4,NA,NA
30693,0,0,"","C2 & CE",8449903.33333333,4119330,NA,30692,30694,NA,9,2,NA
30698,0,0,"","C2 & CE & HILIC",66458266.6666667,2039290,1135250,30698,30697,30698,2,3,9
30711,0,0,"","C2",3720810,NA,NA,30711,NA,NA,8,NA,NA
30714,0,0,"","CE & HILIC",NA,951999,320495.333333333,NA,30714,30714,NA,3,6
30717,0,0,"","CE",NA,478908.333333333,NA,NA,30717,NA,NA,2,NA
30723,30721,1.73715806270796e-05,"HexNAc(1)Hex(1)NeuAc(3) _ H4N6F1S1","HILIC",NA,NA,318364.666666667,NA,NA,30723,NA,NA,5
30734,0,0,"","CE",NA,584838,NA,NA,30734,NA,NA,4,NA
30738,30737,0.00141656717555126,"HexNAc(2)Hex(2)NeuAc(2) _ H4N5F2S1","C2 & HILIC",27707566.6666667,NA,722148.666666667,30738,NA,30739,2,NA,8
30754,30753,0.000616412136893212,"HexNAc(2)Hex(2)NeuAc(2) _ H5N5F1S1","CE & HILIC",NA,1516976.66666667,247425,NA,30755,30754,NA,2,6
30759,0,0,"","C2 & CE",3945103.33333333,940475.333333333,NA,30759,30759,NA,8,4,NA
30762,0,0,"","C2 & CE",58085233.3333333,719943.333333333,NA,30762,30761,NA,3,9,NA
30775,0,0,"","C2",17143800,NA,NA,30775,NA,NA,4,NA,NA
30780,30779,0.000663706876848097,"HexNAc(2)Hex(2)NeuAc(2) _ H3N6F2S1","HILIC",NA,NA,257362,NA,NA,30780,NA,NA,8
30796,30795,0.000748073472049011,"HexNAc(2)Hex(2)NeuAc(2) _ H4N6F1S1","CE",NA,1522900,NA,NA,30796,NA,NA,3,NA
30802,0,0,"","C2 & CE",41236533.3333333,893577,NA,30802,30800,NA,3,6,NA
30809,30809,4.24708306538471e-06,"HexNAc(1)Hex(1)NeuAc(3) _ H4N5F1S2","C2",4526583.33333333,NA,NA,30809,NA,NA,1,NA,NA
30818,0,0,"","HILIC",NA,NA,176501,NA,NA,30818,NA,NA,6
30839,0,0,"","C2 & CE",6150996.66666667,711462.333333333,NA,30839,30839,NA,4,3,NA
30843,30842,0.000699877211536088,"HexNAc(2)Hex(2)NeuAc(2) _ H5N4F1S2","C2 & HILIC",12234666.6666667,NA,1036226.66666667,30844,NA,30843,3,NA,8
