,Sample name,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Name,
34240,,43122.7,28895.8,42804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34230,,,,,,,,,,,,,,,,,,93539.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82896.9,,,,,,,,,,,,,,,,,,,,
34202,,,,22618.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34190,,,,,,,,,,,,,,,,,,,101585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137219,,,,,,,,,,,,,,,206033,,,
34186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109929,111662,,,,,,,,,,,,,,,,,,,
34184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173444,,,,,,,,,,,,,,,,,,,,,,
34176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89126,,,,,,,,,,,,,,,,,,,,,,,
34175,,,,21634.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34171,,37370.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245357
34148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57906.3,,,,,,,,,,,,,,,,,,
34145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140714,,,,,,,,,,,,,,,,,,,,,,
34144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108262,,,,,,,,,,,,,,,,,,151910,
34140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201181,,,,,,,,,,,,,,,,,,,,,,,
34138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124256,,,,,,,,,,,,,,,,,,,,,,,,,
34131,,,19538.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34128,,,,,68043.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34118,,,,,,,,,,,,,,,,82340.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74686.5,,,,,,,,,,,,,,,,,,,
34103,,,,,,,,,,,,,,,,,,,131467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34102,,,,16560.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103143,,,,,,,,,,,,,,,,,,,,,
34093,,,,,,,,,,,,,,,,,,69296.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122139,,,,,,,,,,,,,,,,,,,,
34082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183660,,,,,,,,,,,,,,,,,,,,,,
34076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109908,,,,,,,,,,,,,,,,,,,,,170176,,
34067,,,,,,,,,,,,,,,,,98524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34066,,,,22241.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34064,,,15931.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100847,,,,,,,,,,,,,,,,,,,,
