,Sample name,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Name,
33292,,,,,,,,,,,,,,,,,,,,,,,,,,,175200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33290,,,,,,,,,,,,,,,,,,,,,,,339316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33287,,,,,,,,,204407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33286,,,,,,,,,,,,,,,,,,,,,,,,288709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144307,,,,,,,,,,,,,,,,,,,,,,,,,
33280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282380,,,,,,,,,
33279,,,,,,,,,,,266900,,,,116770,,,,,,,,,,,353666,,132893,,,,,,,,,,,,,,,,,,,625549,,,,,,,,
33278,,,,,,,,,,,,210559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33277,,,,,,,,,,,,,,184665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304111,,,,,,,,,,,,,,,,,,,,,,,444594
33269,,,,,,,,,,,,,,,,,324864,,,,,,,,,,,,,,263185,,,,131391,,,,,,,,,,,,,,,,,,864138,522678,
33268,,,,,,,,,,,,,,,,210966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657988,,595581,,,
33267,,,,,,,,,,,,,,,,,,,272245,,,,,,,,,,,,,,,352457,,,,,,,,,,,,,,,,,,,,,
33266,,,,,,,,,,,,,,,,,,190770,,,,,,,,,,,,,,,,,,86102.8,,,,,,,,,,,,,,,,,,,
33265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154971,,,,,,,,,,,,,,,,,,637172,,,,
33264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469762,,,,,,,
33262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293018,,,,,,,,,,,,,,,,,,,,,,,,,,
33257,,,,,,,,,,,,,,,,,,,,,,,,461390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33252,,,,,,,,,,,,,,,,,,,,,,,,,254581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33250,,,,,,,,,,,,,,,,,,,,,,,265823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33246,,,,,,,,,,,,,,,,,,,,,158854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310645,,,,
33241,,,,,,,,,,,,,,,352031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33240,,,,,,,,,,,275808,,,,,,,,,,,,,,,,401073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33239,,,,,,,,,,,,,,,,,207244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417971,,,276811,,,,,
33238,,,,,,,,,,,,,,,,,,,,,,,,,,404054,,,281408,,,,,,,,,,,,,,,,,,,,,,,,,,
33237,,,,,,,,,,,,355259,,,,,,,,,,,,,,,,,,,,,,,,64705.4,,,,,,,,485161,,,,,,,,,,,
33236,,,,,,,,,,,,,231746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33230,,,,,,,,,,,,,,126551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33229,,,16111.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230362,,,,,,,,,,,,,,,,301430,,,,,,
33223,,,,,,,,,,,,,,,,223716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255159,,,,,,,,,,,,,,,,431866,,,,,,,
33221,,,,,,,,,,,,,,,,,,,153901,,,,,,,,,190989,,,251434,,,,,,,,,,,,,,,,,,,,299571,,,,
33220,,,,,,,,,,,,,,,,,,192256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255206,,,,,
33219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202433,,,
33218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161538,,,,,,,,,,,,,,,,,,,,,,,,,
33217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267572,,,,,,,,,,,,,,,,,,375517,,,,,,,,
33215,,,,,,,,,,,,,175930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33213,,,,,,,,,,,,,,,,,,,,,,,,,,197153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33211,,,,,,,,,,,226501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114226,,,,,,,,,,,,,,,,,,,,,
33206,,,,,,,,,,,,,,,,,230799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33203,,,,,,,,,,,,,,,151395,,,,,,,,,,,,,,,,,294419,,,,,,,,,,,,,,,,,,367606,,,,,
33202,,,,,,,,,,,,,,,,,,,129732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442338,,,,
33201,,,,,,,,,,,,,,,,,,,,,,,,,,,,290485,,,,,,,,,,,,,,,,,,,,,,,,350210,160034,,
33200,,,,,,,,,,,,,,271283,,,,,,,,,,,,,,,288330,,,,,,,,,,,,,,,,,,,,,,,,,,
33199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495223,,,,,,,,,
33198,,,,,,,,,,,,,,,,,,,,,,,,,,,215277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33197,,,,,,,,,223994,,,,171918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337292,,,,,,,,,,
33193,,,,,,,,,,,,,,,,,,,,,202987,,,343516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33191,,,,,,,,,,,,222024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193899,,,,,,,,,,,,,,,,,,,,,,,
33180,,,,,,,,,,,,,,,,,,,,,,,,,,237380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33179,,,,,,,,,,,,,,,,,,,,,,,,,365874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411559,,,,,,,,,,,
33172,,,,,,,,,,,,274745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33171,,,,,,,,,,,,,,235277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33170,,,,,,,,,,253817,,,,,,,,,,,,,,,,,,136128,,,,,,,,,,,,,,,,,,,,,,,,,,,
33167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365325,,,,,,,,,,,,,,,,,,,,,,,,,,
33166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95365.1,,,,,,,,,,,,,551719,,,,,,143022,
33165,,,,,,,,,,,,,,,272914,,,,,,,,,,,,,,,,,,,62931.9,,,,,,,,,,,,,,,,839402,,,317900,,
33164,,,,,,,,,,,,,,,,,430212,384374,236980,,,,,,,,343882,,,,,,,,,,,,,,,,,,,,,,666256,,772760,,,,
33163,,,,,,,,,,,,,,,,307820,,,,,,,,,,,,,,,,333154,198148,,,,,,,,,,,,,,650740,,,,,594947,,,
33162,,15502.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,420404,,,,,,,,,,,,,,,,,,,,,,,,,
33161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320384,,,,,,,,,,,,,,,,,,,,,,,,
33155,,,,,,,,,,,254633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33154,,,,,,,,,,,,,,,,,,,,,,,,,227480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33152,,,,,,,,,,296146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33148,,,,,,,,,202711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304476,,,,,,,,,,,,
33140,,,,,,,,,,,,,,,,,,,,,,,,,,,,186317,,,,,,,,,,,,,,,,,,,,,,,,,,,
33136,,,,,,,,,,,,,,,,,,,,,,,,,,,346826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33133,,,,,,,,,,,262038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33131,,,,,,,,,,,,,,,,,,,,,,,318849,,,,,,,,,,,,,,55777.9,,,,,,,,,,,,,,,,,,
33130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63072,,,,,,,,,,,,774178,,,,,,,,
33124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319256,,,,146582
33123,,,,,,,,,,,,,,,,,,490563,,,,,,,,,,,,,300139,,,,,,,,,,,,,,,,,,,,,,,,
33122,,,,,,,,,,,,,,,,,,,344268,,,,,,,,,,,,,275305,251864,264155,,,,,,,,,,,,,,,744930,,,610555,,,
33121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426518,,,,,,,,,,,,,,,,,,,616907,,556999,,,329813,,
33120,,,,,,,,,,,,,,,371586,350566,460445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273807,,,,,,,,,,,,,,,,,,,,,,,,,
33118,,,,,,,,,,,,,,,,,,,,,,,,,,382685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33117,,,,,,,,,,,,,370720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370235,,,,,,,,,
33116,,,,,,,,,,,,,,293628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33114,,,,,,,,,,,,,,,,,,,,,,,,,,,510256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33112,,,,,,,,,,,,,,,,,,,,,256044,,,,,,,257992,,,,,,,,,,,,,,,,,,,,,,,,,,,
33111,,,,,,,,,,,,,,,,,,,,,,,,466678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397849,,,,,,,,
33099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218478,,,,,,,,,,,,,,,,,,,,,,,,,,
33098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269932,,,,,,,,,
33097,,,,,,,,,,,,,,,229523,100373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570712,,,,,,,,,,
33095,,,,,,,,219403,,,,,,,,,218507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159648,,,
33093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153928,,,,,,,,,,,,,,,,,,,,,
33092,,,,,,,,,,,344442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33091,,,,,,,,,,320381,,,,,,,,,,,,,,385576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331432,,
33088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122106,,,,,,,,,,,,,,,,,,,,,,
33082,,,,,,,,,,,,,,,,,,,,,,282554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080,,,,,,,,,,,,,,,,,,164405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33079,,,,,,,,,,,,,,,,,,,114636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297420,,,,,,,,,,,,,,,,,,,603831,,,,,,,
33077,,,,,,,,,,,,,,,,,154650,,,,,,,,,,,,,,210347,,,,,,,,,,,,,583100,,,,,,,,,,,
33076,,,,,,,,,,,,,,,,,,,,,,,,,336001,,,,,,,,,,,,,,,,,,,,,,,,,242231,,,,,
33075,,,,,,,,,,,,,295333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333127,,,,,,,,
33074,,,,,,,,,,,,267726,,,340174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365342,,,,,,,,,,
33073,,,,,,,,,,,,,,369185,,,,,,,,,,,,,,388579,,,,,,,,,,,,,,,,,,,,,,,,,,,
33071,,,,,,,,,,,,,,,,,,,,,,,314602,,,328647,211132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33070,,,,,,,,,,,,,,,,,,,,,,,,368099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33069,,,,,,,,,,269032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430834,,,,,,,,,,,,,,,,,,,,,,,,,
33065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363840,,,,,,,,,,,,,,
33061,,,,,,,,,,,,,,,,,,146995,95968.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382275,400008,,,,,,,
33058,,,,,,,,,,,,,,,,255219,184188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410358,,,438799,,,,,,
33057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365986,,,,,,,,,,,,,,,,428058,,,,,,,,,,
33056,,,,,,,,,,,317665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226620,,,,,
33055,,,,,,,,,,,,,231676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33052,,,,,,,,,,,,319303,,,,,,,,,,157242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33051,,,,,,,,,,,,,,,,,,,,,,,,,318210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346429,,,,,,,,,,,,
33046,,,,,,,,,,,,,,,,,,,,,,,,,,355854,,,,,,,,,,,,,,,,,,,,,,,,,,,176061,,
33042,,,,,,,,,,,,,,,,,175790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228189,183087,,,,,,,,,,,,,,,,,,,,,,
33039,,,,,,,,,,,,,,,,,,,,,,,281550,,,,,,,,,,,,,,,,,,,,,,,,,,,,292637,,,,
33038,,,,,,,,,,,,,,,,218156,,145814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194655,,,,,,,,,,,,,,,,,,,,,183612,,,
33035,,,,,,,,,,,,,,,,,,,,,,,,,,,,343246,,,,,,,,,,,,,,,,646449,,,,,,,,,,,
33034,,,,,,,,,,,,,,,,,,,,,,,,,,,313263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605985,,,,,,,,,,
33031,,,,,,,,,,,,,,,,,,,,,,,,377200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33030,,,,,,,,,,,,,,,,,,,,,,,,,281711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33029,,,,,,,,,,,299646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33027,,,,,,,,,,234596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33021,,,,,,,,,,,,321466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388336,,267292,269797,,,
33019,,,,,,,,,,,,,,,,,297782,,,,,,,,,,,,,413838,,,,,,,,,,,,,,,,,826302,,,,,,,,
33018,,,,,,,,,,,,,,,532309,,,214637,76155.5,,,,,,,,,,,,,,,,,,,,,,,,,,,740621,,,,,,,,,
33017,,,,,,,,,,,,,401261,420192,,420549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511936,,,,,,,
33016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582553,,,,,
33015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373997,,,,,,,,,,,,,,,,779524,,,,,,,,,,
33012,,,,,,,,,,,,,,,,,,,,,,,,,,,439962,,,,,,,,,,,,,,,,,525032,,,,,,,,,,,
33003,,,,,,,171877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83152.4,,,,,,,,,,,,,,,,,,,,
32998,,,,,,,,,,,,,,,,,,,,,,,,486412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32997,,,,,,,,,,,,,,,,,,,,,,,,,,529165,,,,,,,,64834.4,,,,,,,,,,,,,,,,,,,,,
32994,,,,,,,,,,,,,,,,,,,,,,,,,410504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32992,,,,,,,,,,,,,,,,,,,,,,,241416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32991,,,,,,,,,285230,,,,,,,,,,,,,,,,,,,370310,,,,,,,,,,,,,,,,,,,,,,,,,,,
32988,,,,,,,,,,340190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32985,,,,,,,,221186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278756,,,
32983,,,,,,,,,,,,,,,,,,,,159201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162448,,,,
32982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82440.1,,,,,,,,,,,,,,,,,,,,
32981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183872,,,,,,,,,,,,,,,,,,,,,,,
32980,,,,,,,,,,,,,,,,,,252348,,,,,,,,,,,,,,,152940,,,,,,,,,,,,,,,,,,,,,,
32979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147967,,
32978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397237,,,,,,,,,,,,,,,,,,,,518168,,,,,
32977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924937,479039,,,,,,
32976,,,,,,,,,,,,,,,,292042,,,,,,,,,384356,,,,,,,,,,,,,,,,,,,,,,916100,,,,,,,,
32975,,,,,,,,,,,,,,,,,349384,,,,,,,,,,,,438233,,146952,,,,,,,,,,,,,,,,,,,,,,,,
32974,,,,,,,,,,,,,,407671,426494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32973,,,,,,,,,,,377631,393199,,,,,,,,,,,,,,,,360167,,,,,,,,,,,,,,,,490375,590893,618317,,,,,,,,,
32972,,,,,,,,,,,,,399846,,,,,,,,,,,,,,428823,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32970,,,,,,,,,,,,,,,,,,,,,,,,306758,,463202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32969,,,,,,,,,,360962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32967,,,,,,,,272709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32959,,,,,,,,,,,,,,,,,,,,,251172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32955,,,,,,,,,,,,,,,,,,,,,,221684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451103,,,,,,,,,,
32953,,,,,,,,,,,,311428,,,,,,,,,,,,,,,320470,,,,,,,,,,,,,,,,,482246,,,,,,,,,,,
32952,,,,,,,,,347510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32951,,,,,,,,,,,,,,250168,,,,,,,,,,,,,,,,190082,,,,,,,,,,,,,,,,,,,,,,,,,
32950,,,,,,,,,,,,,,,,,,,,,,,290215,,,,,,,,,,,,,,,,,,,,,,,,,,189057,,,,,,
32949,,,,,,,,,,,,,,,,,,,,,,,,391123,,,,,,,,,,,,,,,,,,,,,,430118,,,,,,,,,
32948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452425,,,,,,,,,,,,
32946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252278,,,,,,,,,,,,,,,,494538,,,,,,,237759
32945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138198,,,,,,,,,,,,,,,,,,,,
32944,,,,,,,,,,,,,,,,,,200932,,,,,,,,,,,,,,,155317,,,,,,,,,,,,,,,,,,,,,,
32943,,,,,,,,,,,,,,,,,,,150626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316589,315208,
32942,,,,,,,,248264,,,,,,,,,,,,,,,,,,,,,,,260812,,,,,,,,,,,,,,,,,,,484486,,344424,,,
32941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66365.1,,,,,,,,,,,,,,,,,200388,,,,
32936,,,,,,,,,,,,,,,,,,,,,,,,,316449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32935,,,,,,,,,,,,,,,,235911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32933,,,,,,,,,,284028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32932,,,,,,,,,,,,,,268719,147905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661863,,,,,,,,,,,
32930,,,,,,,,,332871,,346409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595068,,,,,,,,,
32928,,,,,,,,,,,,,,,,,,,,,,,,,,,544099,,,,,,,,,,,,,,,,499741,,,,,,,,,,,,
32918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275399,,,,,,,,,,,,,,,,,,,,,,,,,,
32917,,,,,,,,,,,,,,,,,,,,,,,,,,,,318280,,,,,,,,,,,,,,,,,,,,,,,,,,,
32916,,,,,,,,,,,,469945,,,,,,,,,,,499724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32915,,,,,,,,,,,,,,246830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32914,,,,,,,,,,,,,371992,,,,,,,,,,,,,532454,,,,,,,,,,,,,,,,,,,955045,,345159,,,,,,,,
32913,,,,,,,,,,,,,,,229866,210973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547387,,,,,,,,,
32912,,,,,,,,,,,,,,,,,,,,144118,,,,,,,,,,,,,,,,,,,,,,,,754341,,,,,,,,,,,
32911,,,,,,,,,,,397535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32909,,,,,,,,,,489403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32908,,,,,,,,,,,,,,,,,,,,,418392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32907,,,,,,,,,,,,,,,,,,,,,,,,,289611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385439,,
32904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179986,
32903,,,,,,,,,,,,,,,,,,,190368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533315,470604,447324,,,
32900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176138,,,,,,,,,,,,,,,,490042,,,,,,
32898,,,,,,,,333558,,,,,,,,,,211245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392312,,128135,,,,,,,,,,,,,,,,,,,,,,,
32895,,,,,,,,,,,,,,,,206918,,,,,,,,,,,,,,,151081,,,,,,,,,,,,,,,,,,,,,,,,
