"","1","2","3","4","Glycan1","Glycan2","Glycan3","Glycan4","mass","probability","Glycan"
"46",1167.423,2118.973,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H5N5F2","H5N2","no glycan",31244.138,8.77828590527029e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H5N5F2 _ H5N2 _ no glycan"
"47",1209.433,2118.973,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H5N5F2","H5N2","no glycan",31286.148,1.01195867117898e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H5N5F2 _ H5N2 _ no glycan"
"48",1312.453,2118.973,1217.102,0,"Hex(2)HexNAc(2)NeuAc(2)","H5N5F2","H5N2","no glycan",31389.168,1.2711440593706e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H5N5F2 _ H5N2 _ no glycan"
"49",656,2144.0262,1217.102,0,"Hex(1)HexNAc(1)NeuAc(1)","H3N6F3","H5N2","no glycan",30757.7682,1.1102528500826e-05,"Hex(1)HexNAc(1)NeuAc(1) _ H3N6F3 _ H5N2 _ no glycan"
"50",947.323,2144.0262,1217.102,0,"Hex(1)HexNAc(1)NeuAc(2)","H3N6F3","H5N2","no glycan",31049.0912,0.000218438118853598,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H5N2 _ no glycan"
"51",1021.74,2144.0262,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1)","H3N6F3","H5N2","no glycan",31123.5082,1.24087079565157e-05,"Hex(2)HexNAc(2)NeuAc(1) _ H3N6F3 _ H5N2 _ no glycan"
"52",1063.363,2144.0262,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H3N6F3","H5N2","no glycan",31165.1312,1.42519474646107e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H3N6F3 _ H5N2 _ no glycan"
"53",1143.333,2144.0262,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H3N6F3","H5N2","no glycan",31245.1012,1.96382442783676e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H3N6F3 _ H5N2 _ no glycan"
"54",1167.423,2144.0262,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H3N6F3","H5N2","no glycan",31269.1912,3.08225921162894e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H3N6F3 _ H5N2 _ no glycan"
"55",1209.433,2144.0262,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H3N6F3","H5N2","no glycan",31311.2012,3.55322094733387e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H3N6F3 _ H5N2 _ no glycan"
"56",1312.453,2144.0262,1217.102,0,"Hex(2)HexNAc(2)NeuAc(2)","H3N6F3","H5N2","no glycan",31414.2212,4.46328079146995e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F3 _ H5N2 _ no glycan"
"57",656,2160.0256,1217.102,0,"Hex(1)HexNAc(1)NeuAc(1)","H4N6F2","H5N2","no glycan",30773.7676,3.4102144504644e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H4N6F2 _ H5N2 _ no glycan"
