"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
31945,31943,0.000323080358523001,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N5F3 _ H4N5F2 _ no glycan","C2 & CE & HILIC",2474056.66666667,301038.333333333,5395766.66666667,31945,31943,31945,7,4,6
31949,31950,0.00251831146652827,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H5N5F2 _ no glycan","C2",2134952.66666667,NA,NA,31949,NA,NA,12,NA,NA
31951,31950,0.00251831146652827,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H5N5F2 _ no glycan","C2 & CE",2287603.33333333,650019.666666667,NA,31952,31951,NA,13,9,NA
31957,31955,0.001819952989082,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2S1 _ H5N4F1S1 _ no glycan","HILIC",NA,NA,7566920,NA,NA,31957,NA,NA,10
31962,31961,5.42595663134308e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H3N6F3 _ H4N6F1 _ no glycan","C2",96633.45,NA,NA,31962,NA,NA,1,NA,NA
31965,31966,0.000865740468684954,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H5N6F1 _ no glycan","C2",1734594,NA,NA,31965,NA,NA,8,NA,NA
31974,31976,0.00451748343569127,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H3N6F3 _ no glycan","C2 & CE & HILIC",19733333.3333333,8021123.33333333,68222700,31974,31974,31974,11,6,7
31987,31989,3.8786650250106e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N5F2S1 _ H5N3F1S1 _ no glycan","C2",168279,NA,NA,31987,NA,NA,2,NA,NA
31990,31992,0.00138757466742659,"Hex(1)HexNAc(1)NeuAc(2) _ H4N6F2 _ H3N6F3 _ no glycan","C2",2828836.66666667,NA,NA,31991,NA,NA,12,NA,NA
31993,31992,0.00138757466742659,"Hex(1)HexNAc(1)NeuAc(2) _ H4N6F2 _ H3N6F3 _ no glycan","C2 & CE",1720986,1501893.33333333,NA,31993,31993,NA,11,8,NA
31996,31996,0.00237495578952646,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F2S1 _ H5N4F1S1 _ no glycan","C2 & CE & HILIC",3273063.33333333,1137318,10127930,31995,31996,31997,13,9,9
32007,32008,0.000689582131186334,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H5N6F1 _ no glycan","C2 & CE & HILIC",3148030,449976,2178630.33333333,32007,32006,32008,8,5,8
32010,32012,0.000805219556122533,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5F1S1 _ H5N4F1S1 _ no glycan","C2 & CE",2629790,826502.333333333,NA,32010,32010,NA,11,7,NA
32014,32015,0.00139069600665511,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H3N6F2 _ extra modification","C2 & HILIC",3145280,NA,13205700,32014,NA,32015,9,NA,7
32021,32023,8.69685535292483e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H4N6F2 _ H4N5F1 _ no glycan","C2",455414.5,NA,NA,32021,NA,NA,3,NA,NA
32026,32025,0.000279278249573729,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H4N5F3 _ H5N5F1 _ no glycan","C2",1397937,NA,NA,32026,NA,NA,8,NA,NA
32028,32030,0.000256575091149268,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H5N4F3 _ H5N4F1S1 _ no glycan","CE",NA,924927.5,NA,NA,32028,NA,NA,5,NA
32029,32031,0.000683125249497155,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H4N6F1 _ extra modification","C2",2490293,NA,NA,32029,NA,NA,5,NA,NA
32032,32031,0.000683125249497155,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H4N6F1 _ extra modification","C2 & CE & HILIC",3266840,3001113.33333333,11838833.3333333,32031,32032,32032,10,6,7
32036,32037,0.003592023,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H5N4F1S1 _ extra modification","C2 & CE",4799236.66666667,2243650,NA,32036,32036,NA,12,8,NA
32038,32039,0.00439871704007528,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H4N5F2S1 _ no glycan","HILIC",NA,NA,10843826.6666667,NA,NA,32039,NA,NA,8
32045,32047,0.000393136650156144,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N5F3 _ H5N4F1S1 _ no glycan","C2 & CE",930883,263264.85,NA,32045,32045,NA,7,4,NA
32049,32050,0.000465616532637977,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H3N6F3 _ H4N5F2 _ no glycan","C2 & CE & HILIC",3361896.66666667,970007.5,9432050,32049,32049,32050,9,5,7
32067,32066,0.00022245152849049,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H3N6F3 _ H5N5F1 _ no glycan","C2",899493.5,NA,NA,32067,NA,NA,7,NA,NA
32070,32071,0.000650773336437516,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5F2 _ H5N5F1S1 _ no glycan","C2",3207306.66666667,NA,NA,32070,NA,NA,9,NA,NA
32073,32071,0.000650773336437516,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5F2 _ H5N5F1S1 _ no glycan","C2 & CE & HILIC",1849755,3565840,2956683.33333333,32074,32073,32072,10,6,11
32078,32079,0.003859567,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H4N5F3 _ extra modification","C2 & CE & HILIC",4639806.66666667,3140183.33333333,14165066.6666667,32078,32076,32078,12,7,8
32082,32080,0.00350367896696368,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H4N5F2S1 _ no glycan","HILIC",NA,NA,280921.5,NA,NA,32082,NA,NA,13
32089,32089,0.000422418591164849,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N5F3 _ H4N5F3 _ no glycan","C2 & CE",3359670,771203.666666667,NA,32089,32089,NA,8,5,NA
32094,32096,0.00270325228373815,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H4N6F1S1 _ no glycan","C2 & CE & HILIC",3288000,1525426.33333333,20606100,32094,32094,32093,11,9,7
32098,32096,0.00270325228373815,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H4N6F1S1 _ no glycan","CE",NA,784706.666666667,NA,NA,32098,NA,NA,11,NA
32102,32101,0.00102654337927254,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F1S2 _ H5N4F1S1 _ no glycan","HILIC",NA,NA,5783746.66666667,NA,NA,32102,NA,NA,9
32110,32112,0.000734280691215029,"Hex(2)HexNAc(2)NeuAc(2) _ H4N5F3 _ H4N5F2 _ no glycan","C2 & CE & HILIC",3842220,960004.333333333,3879273.33333333,32112,32111,32110,8,5,11
32113,32112,0.000734280691215029,"Hex(2)HexNAc(2)NeuAc(2) _ H4N5F3 _ H4N5F2 _ no glycan","CE & HILIC",NA,645196.5,409909.5,NA,32114,32113,NA,10,12
32119,32120,0.004658736,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H3N6F3 _ extra modification","C2 & CE & HILIC",5991213.33333333,2596830,25387333.3333333,32119,32119,32120,11,7,8
32128,32130,0.000509885331746601,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N5F3 _ H3N6F3 _ no glycan","C2 & CE & HILIC",2769213.33333333,1059354,2038190,32128,32128,32128,7,5,6
32132,32130,0.000509885331746601,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N5F3 _ H3N6F3 _ no glycan","C2 & HILIC",787899.833333333,NA,2852600,32133,NA,32132,3,NA,7
32136,32137,0.00215320241848696,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H4N6F1S1 _ no glycan","C2",1807170,NA,NA,32136,NA,NA,11,NA,NA
32140,32141,0.001494961,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2S1 _ H5N4F1S1 _ extra modification","C2 & CE",2634873.33333333,899975,NA,32140,32139,NA,13,10,NA
32144,32143,0.00183069878305787,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2S1 _ H4N5F2S1 _ no glycan","C2",486660.6,NA,NA,32144,NA,NA,1,NA,NA
32153,32155,0.000800274575656248,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H4N5F3 _ H3N6F3 _ no glycan","C2 & CE & HILIC",5023206.66666667,1034946.66666667,4957143.33333333,32153,32153,32154,8,5,10
32157,32159,0.00161812684370775,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F3 _ H5N5S2 _ no glycan","C2 & CE",1102307.5,840570.5,NA,32157,32157,NA,2,10,NA
32161,32162,0.00371079,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H3N6F3 _ extra modification","C2 & CE & HILIC",10700813.3333333,5268853.33333333,47112400,32160,32161,32161,11,7,8
32169,32171,0.000355344971664943,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H3N6F3 _ H5N5F2 _ no glycan","C2 & CE",1252190,560373.533333333,NA,32169,32169,NA,9,1,NA
32175,32175,0.000371534837685172,"Hex(2)HexNAc(2)NeuAc(2) _ H5N4F3 _ H5N4F1S1 _ no glycan","C2 & HILIC",177893.3,NA,4431153.33333333,32174,NA,32176,4,NA,12
32179,32178,0.001139793,"Hex(1)HexNAc(1)NeuAc(2) _ H4N6F2 _ H3N6F3 _ extra modification","CE",NA,777494.5,NA,NA,32179,NA,NA,9,NA
32182,32184,0.00238897856141627,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F2S1 _ H4N5F2S1 _ no glycan","C2 & CE",3183180,1002524.66666667,NA,32182,32183,NA,14,11,NA
32191,32193,0.000232579942028068,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F3 _ H4N5F1 _ extra modification","HILIC",NA,NA,273427,NA,NA,32191,NA,NA,13
32194,32196,0.000637437046524502,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H3N6F3 _ H3N6F3 _ no glycan","C2 & CE",5127386.66666667,1362680,NA,32194,32194,NA,8,5,NA
32197,32199,0.001080866,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2S1 _ H5N5F2 _ extra modification","C2 & CE & HILIC",2757896.66666667,522032.5,8272816.66666667,32199,32197,32197,12,13,9
32201,32200,0.00389141998422524,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H5N5S2 _ no glycan","HILIC",NA,NA,4049710,NA,NA,32201,NA,NA,7
32212,32213,0.000409640821928912,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H3N6F3 _ H5N5F2 _ no glycan","C2 & CE",3109986.66666667,1067975,NA,32211,32212,NA,9,2,NA
32213,32213,0.000409640821928912,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H3N6F3 _ H5N5F2 _ no glycan","CE",NA,1369790,NA,NA,32213,NA,NA,6,NA
32216,32216,0.000893501086040375,"Hex(2)HexNAc(2)NeuAc(2) _ H4N5F3 _ H5N4F1S1 _ no glycan","C2 & CE & HILIC",3753216.66666667,1915376.66666667,7134736.66666667,32215,32216,32217,11,7,11
32222,32223,0.000409866035323223,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F1S2 _ H3N6F2 _ extra modification","C2 & CE",2820905,261768,NA,32222,32222,NA,12,12,NA
32229,32229,0.000140825565813801,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H4N5F3 _ H5N6F1 _ no glycan","C2 & CE",442995.233333333,141370.95,NA,32229,32231,NA,6,4,NA
32234,32235,0.000395457899920444,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N5F3 _ H4N5F2S1 _ no glycan","C2 & CE & HILIC",5827456.66666667,1125497.66666667,3474238,32235,32236,32234,8,6,8
32240,32241,0.00309960523173793,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H5N5S2 _ no glycan","C2 & CE & HILIC",2736160,610677,12029566.6666667,32240,32239,32240,11,11,9
32245,32247,0.00034564153362734,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2S1 _ H5N4F1S2 _ no glycan","C2 & CE",993630,457130.333333333,NA,32245,32247,NA,14,14,NA
32252,32251,0.000257908192608873,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N5F3 _ H5N5F1S1 _ no glycan","C2 & CE",414166,869457,NA,32252,32252,NA,3,5,NA
32253,32251,0.000257908192608873,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N5F3 _ H5N5F1S1 _ no glycan","C2",3056765,NA,NA,32253,NA,NA,6,NA,NA
