,Sample name,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo
33496,,,,,,,,,,,,,,,570926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428459,,,,
33495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659954,,,,,,,,,,,,,,,,,,,,,
33493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415812,,,,,,,,73335.9,,,,,,,,,,,,,,,,
33491,,,,,,,,,,,,,,,,853331,,,,,,,,,,,,,,,,,,,801644,,1107840,,,,,,,,,,,,,,,650691,,,
33490,,,,,,,,,,,,,,,,,958420,1401240,,,,,,,,,,,,,,,,,,1463610,,,,,,,,,,,,,,,,,,1440520,1044910
33489,,,,,,,,,,,,,,,,,,,1227330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928859,,
33478,,,,,,,,,,,,303920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289066,,,,,,,,,,,,,,,,,,,,,,,,,
33472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198280,,,,,,,
33463,,,,,106354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411142
33460,,,,,,,,,,,,,,,,,943050,,371949,,,,,,,,,,,,,,,,936745,567078,,,,,,,,,,,,,,,,,,,
33459,,,,,,,,,,,,,,,,1708010,,614116,,,,,,,,,,,,,383807,,,,,,,,,,,,,,,,,,,,,,721157,581640,
33458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321200,,,,,,,,,,,,,,,,,,1104600,,,
33457,,,,,,,,,,,,,,,1821200,,,,,,,,,,,,,,,,,,1335260,,,,308326,,,,,,,,,,,,,,,,,,
33456,,,,,,,,,,,,,242101,,,,,,,,,,,,,,,,,,,1227620,,,,,,,,,,,,,,,,,,,1206570,,,,
33455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386931,1145710,,,,,
33454,,,,,,,,,,,,,,1099760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33451,,,,,,,,,,,,392953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33434,,,,,,,,,,,,357240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33432,,,,,,,,,,,167242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238670,,,,,,,,,,,,,,,,,,,,,,,,,,
33428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394210,,,,,,,,,,,,,,,,,,,,,,,,,
33425,,,,,,,,,,,,,,,,,,,430815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583353,
33424,,,,,,,,,,,,,,,,,,730684,,,,,,,,,,,,,,,,,954254,,,,,,,,,,,,,,,,,,,,403812
33423,,,,,,,,,,,,,,,,,1088500,,,,,,,,,,,,,,,,,,,,375816,,,,,,,,,,,,,,,,,,
33422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745616,,,,,,,,,,,,,,,,,835414,,
33419,,,,,,,,,,,,,,,,1795300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348030,,,
33418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1544470,,,,,,,,,,,,,,,,,1160300,,,,
33417,,,,,,,,,,,,,,,1548090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885148,1295020,,,,,,,,,,,,,,,,,,,,,,
33415,,,,,,,,,,,,,737429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718637,,,,,,,,,,,,,,,,,,,,,,,,
33413,,,,,,,,,,,,,,1057410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630358,915667,,,,,
33407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339849,,,,,,,,,,,,,,,,,,,,,,,,,
33404,,,,,,,,,,,,,,,,,,,,,,105534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33390,,,,,,,,,,,,317472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33388,,,,,,,,,,,,,290335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33387,,,,,,,,,,,,,,,,,,,628682,,,,,,,,,,282247,,,,,,,,663578,,,,,,,,,,,,403865,,,,,,
33386,,,,,,,,,,,,,,,,,,1197450,,,,,,,,,,,,,,675957,,,,1157120,,,,,,,,,,,,,,,,,,,509116
33385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064650,,,,,,,,,,,,,,,,,,1053590,,
33384,,,,,,,,,,,,,,643041,,,1165010,,,,,,,,,,,,,,491793,,,891286,,,,,,,,,,,,,177150,,,665786,646325,,,1173990,
33383,,,,,,,,,,,,,,,1094650,1060800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936870,,,
33382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806524,,,,,,,,,,,,,,,,,,,,,,
33368,,,86095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486507,,,,,,,76665.4,,,,,,,,,,,,,,,,,
33365,,,,,,,,,,,,,,,,,,,,68252.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437435,,,,,,
33363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391117,,,,,,,,,,,,,,,,,,,,,,,,,
33356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208492,,,,,,,,
33353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866475,,,,,
33352,,,,,,,,,,,,,440658,,,,,,,,,,,,,,,,,,,,885503,,,,,,,,,,,,,,,,,,,,,,
33351,,,,,,,,,,,,,,,1426580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873071,,,,
33350,,,,,,,,,,,,,,900929,,901252,,,,,,,,,,,,,,,,943717,,849172,,,,,,,,,,,,,,,,,,,,,
33348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776568,,,
33347,,,,,,,,,,,,,,,,,,,,,,,,,,,,191321,,,,,,,,,,,,,,,,,,,,,,,,,,,
33346,,,,,,,,,,,194126,474522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33345,,,,76552.4,,,,,,,,,,,,,,,874233,,,,,,,,,,,,,,,,806641,1041350,933586,,,,,,,,,,,,,,,,,1005110,779317
33344,,,,,,,,,,,,,,,,,848732,1013150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757643,,
33336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338992,,,,,,,,,,,,,,,,,,,,,,,,,,
33324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135451,,,,,,,,
33318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417404,
33317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208101,,,,,,,,,,,,,,,,,,
33316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498065,,,,,,,,,,,,,,,,,,,
33315,,,,,,,,,,,,,674739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239222
33314,,,,,,,,,,,,,,,,,,463215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871994,,
33312,,,,,,,,,,,,,,1130200,,,,,328421,,,,,,,,,,,,758753,,,,1135590,,,,,,,,,,,,,,,,,,,,
33311,,,,,,,,,,,,,,,,2356810,1103730,,,,,,,,,,,,,,,1276080,,1921710,,,,,,,,,,,,,,,,,,1655590,,,
33310,,,,,,,,,,,,,,,2888050,,,,,,,,,,,,,,,,,,2154170,,,,,,,,,,,,,,,,634758,1033750,1997680,,,,
33302,,,,,,,,,,,,446943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366446,,,,,,,
33292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405602,,,,,,,,,,,,,,,,,,,,,,,,,
33284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509587,,,,,,,,,,,,,,,,,,,,,,,,
33282,,,,,,,,,,,262559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33281,,,,,,,,,,,,,,,,,,,233709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33279,,,,,,,,,,242337,,,,,,,,451045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522352,
33278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527800,,,,,,,,,,,,,,,,,,,
33276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297569,,,,,,982557,,205790,,,,,,,,,,,,,,,,,,
33275,,,,,,,,,,,,,,,,,1027790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827061,,
33273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195251,,,,,,,,
33272,,,,,,,,,,,,,,,,2489020,,,,,,,,,,,,,,,,,,2013320,,,,,,,,,,,,,,,,,,1663380,,,
33270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491350,,,,
33269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692880,,,,,,,,,,,,,,,,,,,,,,
33268,,,,,,,,,,,,,,1674370,2331160,,,,,,,,,,,,,,,,,1551270,,,,,,,,,,,,,,,,,,1598040,,,,,
33266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587306,,,,,,
33263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504456,,,,,,,,,,,,,,,,,,,,,,,,
33260,,,,,,,,,,,,,455803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330484,,,,,,,,,,,,,,,,,,,,,,,,,,
33256,,,61836.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33253,,,,,,,,,,,415951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33244,,,,,,,,,,,,,,,,,,,375360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437647
33241,,,,,,,,,,,,,,751782,,,,767897,,,50458.5,,,,,,,,,,,,,,,655977,,,,,,,,,,,,,,,,,,802444,
33240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714815,,,,,195291,,,,,,,,,,,,,752221,,,,,
33239,,,,,,,,,,,,,,,1189570,1272010,1004030,,,,,,,,,,,,,,499207,,965615,,832500,,,,,,,,,,,,,,,,826158,847520,756213,,
33238,,,,,,,,,,,,494328,,,,,,,,,,,,,,,,,,,,,,1086390,,,,,,,,,,,,,,,491802,,,,,,
33237,,,,,,,,,,,,,498594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505755,,,,,,,
33234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591979,,,,,,,,,,,,,,,,,,,,,,,,,
33232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352470,,,,,,,,,,,,,,,,,,325286,,,,,,,,
33226,,,,,,,,,,,398888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33215,,,,,,,,,,232719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68358.3,,,,,,,,,,,,,,,,
33205,,,,,,,,,,,,,,,2101240,,,,,,,,,,,,234256,,,,,1070090,1662600,,,,,,,,,,,,,,,,,,1449920,,,,
33204,,,,,,,,,,,,,,,,989818,,,,,,,,,,,,,,,,,,946135,,,,,,,,,,,,,,,,1006560,,779501,,,
33203,,,,,,,,,,,,,765151,932332,,,,,,,,,,,,,,,,573458,936882,,,,,,,,,,,,,,,,,,850762,,,,,,
33202,,,,,,,,,,,,532408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568456,,,,,,,
33200,,,,,,,,,,,,,,,,,553668,670843,,,,,,,,,,,,,,,,,515849,,,,,,,,,,,,,,,,,,482938,594184,
33199,,,,,,,,,,,351128,,,,,,,,,,,,,,,,,,,,,,,,,614169,473870,,,,,,,,,,,,,,,,,,
33198,,,,,,,,,,,,,,,,,,,562528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530118
33197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187381,,,,,,,,,,,,,,,,,,,,,,,,,,
33192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224292,,,,,,,,
33182,,,,,,,,,,,,,,,,,,,,,,,,,,,195385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387267,,,,,,,,,,,,,,,,,,,548717,,,,,,
33179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556451,,,,,,,,,,,,,,,,,,,,,,,,
33178,,,,,,,,,,,406743,,442321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103064,,,,,,,,,,,,,,,,
33172,,,,,,,,,,,,,,,,,,,322622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377184,,,,,,,,,,,,,,,,,,,
33167,,,,,,,,,,,,,,,,,1046470,,,,,,,,,,,,,,,,,,,,183465,,,68889.3,,,,,,,,,,,,,664347,,
33166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806901,,,,,,,,,,,,,,,,,,,,
33165,,,,,,,,,,,,,,,2889070,3026460,,376021,,,,,,,,,,,,,,,2159890,2618030,,,,,,,,,,,,,,,,,2143480,2020120,,289308,
33164,,,,,,,,,,,,,,1674350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398033,,1519670,,,,,
33163,,,,,,,,,,,,,,,,,,,,,,,,,,,,325870,,,,1848510,,,,,,,,,,,,,,,,,,,,,,,
33161,,,,,,,,,,,,,700592,,,,,,,,,,,,,,,,,,634178,,,,,,,,,,,,,,,,,,732595,,,,,,
33160,,,56257.7,,,,,,,,,667955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139921,,,,,,,,,
33159,,,,80151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33158,,,,,,,,,,,308232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181055,,,,,,,,,,
33150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633184,,,,,,,,,,,,,,,,,,,,,,,,,
33149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290473,,,,,,,,,,,,55558.1,,,,,,,,,,,,,,259275
33141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613380,,,,,,,,,,,,,,,,,,,,,,,,
33140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328008,,,,,,,,
33137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177788,,,529297,,,,,,
33135,,,,,,,,,,,361720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33134,,,,,,,,,,,,,,,,,,,,,,,,,,,,321907,,,,,,,,,,,,,,,,,,,,,,,,,,,
33131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272104,,,,,,,,,,,,,,,,,,,,,,,,,,
33130,,,,,,,,,,,,,,,,,,369500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519645,,,,,,,
33127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591209,,,,,,366401,,,,,,,,,,,,,,,,,,,
33126,,,,,,,,,,,,,,,,,1258840,,289418,,,,,,,,,,,,,,,,1084880,,,,,,,,,,,,,,,,,,,207527,
33125,,,,,,,,,,,,,,,,2693860,,,,,50915.6,,,,,,,,,,,,,2260890,,,,,,,,,,,,,,,,,,1756790,960947,,
33123,,,,,,,,,,,,,,,3100000,,,,,,,,,,,,,,,,,1202900,2886180,,,,,,,,,,,,,,,,,1054470,2461270,,,,
33122,,,,,,,,,,,,,,940484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33120,,,,,,,,,,,,570295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620549,,,,,,,,,,,,,,,,321641,,582643,,,,,,
33116,,,,,,,,,,,,,607700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33110,,,,,,,,,,412684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492024,,,,,,,,,
33104,,,,,,,,,,,395278,,,,,,,,,,,,,,,,296474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33100,,,,,,,,,,,,,,,,,,,306166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355805,,,1111030,,,,,,,,,,,,,,,,,,,,,,263388,
33095,,,,,,,,,,,,,,1123270,1256970,,667981,,,,,,,,,,,,,,,,1155300,,,,,,,,,,,,,,,,,1027340,982575,,,,
33094,,,,,,,,,,,,,,,,,,398417,,,,,,,,,,,,,1107960,,,,,308376,,38567,,,,,,,,,,,,,,,,,
33093,,,,,,,,,,,,,,,,1107100,,,,,,,,,,,,,,,,,,1032850,574728,,,,,,,,,,,,,,888549,,,757995,453699,,
33091,,,,,,,,,,,,,1140630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257299,,,889490,,,,,,,
33089,,,,,,,,,,,,755336,,,,,,,,,,,,,,,,,,944075,,,,,,,,,,,,,,,,,,,,,,,,,
33081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365178,,,,,,,,
33075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395521,,,,,,,,,,,,,,,,,,,,,,,,,,
33073,,,,,,,,,,343354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33072,,,,,,,,,,,,,,,,,,,,,50239.3,,,,,,,,,,,,,,,,,,,,,,,,202178,,,,,,,,,,
33071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319741,,,,,,,,,
33065,,,79667.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33063,,,,,,,,,317429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1853810,,,,,,,,,,,,,,,,,,,,,,
33059,,,,,,,,,,,,,,,2070820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1504860,1610140,808705,,,
33058,,,,,,,,,,,,,,1700390,,1101540,,,,,,,,,,,,,,,,1887290,,956976,,,,,,,,,,,,,,,970948,,,,,,
33057,,,,,,,,,,,,,1002190,,,,427920,,,,,,,,,,,,,,1181840,,,,,,,,,,,,,,,,,,,,,,,,
33056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367202,,,,,,,,,,,,,,,,,,,
33055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452667,,270779
33054,,,,,,,,,,,,,,,,,,380265,,,,,,,,,,,,,,,,,425506,,261243,,,,,,,,,,,704088,,,,,,,
33053,,,,,,,,,,,,768200,,,,,,,,,,,,,,,,,,726768,,,,,,,,,,,,,,,,,,,,,,,,,
33052,,,,,,,,,,,,,,,,,,,,,,,,,,,212447,,,,,,,,,,,,,,,,,,,,,,,,,,,329101,
33049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612754,,,,,,,,
33048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739501,,,,,,,,,,,,,,,,,,,,,,,,,,
33044,,,,,,,,,,,,,,,,,,,,,,,,,,,,409856,,,,,,,,,,,,,,,,,,,,,,,,,,,
33043,,,,,,,,,,,709037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484684,,,,,,
33035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551321,,,,,,,,,,,,,,,,,,,,,,,,
33034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334446,,,,,,,,,
33024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188388,,,,,,,,,,,,,,,,,,
33021,,,,,,,,,,,,,,,,,644733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489598,,
33020,,,,,,,,,,,,,,,,3070580,,,,,,,,,,,,,,,,,,2550140,741858,,,,,,,,,,,,,,,,2675660,1976070,,,
33019,,,,,,,,,,,,,,,3883910,,,,,,,,,,,,,,,,,1926130,3021850,,,,,,,,,,,,,,,,,1936710,,,,,
33018,,,,,,,,,,,,,,1745470,,,,299330,,,,,,,,,,,,,,,,,,,,,,,,,,,282007,,,,,,,,,,
33017,,,,,,,,,314304,,,,1140870,,,,,,,,,,,,,,,,,803290,,,,,,,,,,,,,,,,,,,,,,,,,
33016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938894,,,,,,,,,,,,,,,,,,,,,,,,
33015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993995,,,,,,
33014,,,,,,,,,,,,,,,,,,,,,,,,,,218093,,,,,,,,,,,,,,,,,,,,,,983580,,,,,,,
33013,,,,,,,,,,178763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33006,,,,,,,,,,,,1026570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33003,,,,,,,,206445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423490,,,,,,,,,,,,,,,,,,,,,,,,,,
