"","1","2","3","4","Glycan1","Glycan2","Glycan3","Glycan4","mass","probability","Glycan"
"33",656,2061.921,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(1)","H5N4F3","H3N4F1","no glycan",30952.1812,3.93575802079208e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H5N4F3 _ H3N4F1 _ no glycan"
"34",947.323,2061.921,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(2)","H5N4F3","H3N4F1","no glycan",31243.5042,0.000248040337112063,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F3 _ H3N4F1 _ no glycan"
"35",1021.74,2061.921,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1)","H5N4F3","H3N4F1","no glycan",31317.9212,1.31620873272615e-05,"Hex(2)HexNAc(2)NeuAc(1) _ H5N4F3 _ H3N4F1 _ no glycan"
"36",1063.363,2061.921,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H5N4F3","H3N4F1","no glycan",31359.5442,9.85996957219809e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H5N4F3 _ H3N4F1 _ no glycan"
"37",1143.333,2061.921,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H5N4F3","H3N4F1","no glycan",31439.5142,4.47482124562223e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H5N4F3 _ H3N4F1 _ no glycan"
"38",1167.423,2061.921,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H5N4F3","H3N4F1","no glycan",31463.6042,9.15842406669088e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H5N4F3 _ H3N4F1 _ no glycan"
"39",1209.433,2061.921,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H5N4F3","H3N4F1","no glycan",31505.6142,1.52561603267011e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H5N4F3 _ H3N4F1 _ no glycan"
"40",1312.453,2061.921,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(2)","H5N4F3","H3N4F1","no glycan",31608.6342,2.6184578031441e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H5N4F3 _ H3N4F1 _ no glycan"
"41",656,2102.9736,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(1)","H4N5F3","H3N4F1","no glycan",30993.2338,1.17821859013298e-05,"Hex(1)HexNAc(1)NeuAc(1) _ H4N5F3 _ H3N4F1 _ no glycan"
"42",947.323,2102.9736,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(2)","H4N5F3","H3N4F1","no glycan",31284.5568,0.000742539898907372,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H3N4F1 _ no glycan"
"43",1021.74,2102.9736,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1)","H4N5F3","H3N4F1","no glycan",31358.9738,3.94023613545533e-05,"Hex(2)HexNAc(2)NeuAc(1) _ H4N5F3 _ H3N4F1 _ no glycan"
"44",1063.363,2102.9736,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H4N5F3","H3N4F1","no glycan",31400.5968,2.9517057163416e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H4N5F3 _ H3N4F1 _ no glycan"
"45",1143.333,2102.9736,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H4N5F3","H3N4F1","no glycan",31480.5668,1.33959393622808e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N5F3 _ H3N4F1 _ no glycan"
"46",1167.423,2102.9736,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H4N5F3","H3N4F1","no glycan",31504.6568,2.7416892590172e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H4N5F3 _ H3N4F1 _ no glycan"
"47",1209.433,2102.9736,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H4N5F3","H3N4F1","no glycan",31546.6668,4.56712318592971e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H4N5F3 _ H3N4F1 _ no glycan"
"48",1312.453,2102.9736,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(2)","H4N5F3","H3N4F1","no glycan",31649.6868,7.83868226868846e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H4N5F3 _ H3N4F1 _ no glycan"
"49",656,2118.973,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(1)","H5N5F2","H3N4F1","no glycan",31009.2332,3.22221350302377e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H5N5F2 _ H3N4F1 _ no glycan"
