"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
32852,32850,6.263691e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H5N6F1S2 _ H3N7F2 _ extra modification","CE & HILIC",NA,314614.666666667,963752.333333333,NA,32852,32852,NA,11,12
32859,32858,5.047917e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H4N5F3 _ H6N5F2S1 _ extra modification","HILIC",NA,NA,379174.666666667,NA,NA,32859,NA,NA,9
32863,32862,9.55778322100057e-05,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5S2 _ H6N5F1S2 _ no glycan","CE & HILIC",NA,356327.666666667,673362.333333333,NA,32864,32863,NA,5,10
32876,32874,4.17991437989858e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F3 _ H6N6F1S1 _ no glycan","CE",NA,427392.333333333,NA,NA,32876,NA,NA,8,NA
32884,32886,0.0004722736,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H6N5S3 _ extra modification","CE & HILIC",NA,201133.333333333,477280,NA,32884,32884,NA,12,14
32889,32887,8.059678e-05,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2S1 _ H5N6F3S1 _ extra modification","C2 & CE & HILIC",2325150,350569,597360.333333333,32888,32890,32889,9,5,12
32914,32914,5.911735e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F3 _ H6N6F2 _ extra modification","HILIC",NA,NA,299495.666666667,NA,NA,32914,NA,NA,3
32919,32920,4.713711e-05,"Hex(1)HexNAc(1)NeuAc(2) _ H6N5F3 _ H6N5F2S1 _ extra modification","CE",NA,239240.666666667,NA,NA,32919,NA,NA,9,NA
32923,32921,4.70691216000746e-05,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5S2 _ H6N6F2S1 _ no glycan","CE",NA,251608,NA,NA,32923,NA,NA,13,NA
32926,32927,0.0004571964,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H6N5S3 _ extra modification","CE & HILIC",NA,226444.313333333,621897.333333333,NA,32927,32926,NA,1,14
