,Sample name,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Name,
34401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747370,,,,
34391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672199,,
34389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689667,,,,,,,,,,,,,,,,,,,,,
34388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2203330,,,,,,,,,
34386,,,,,,,,,,,,,1066310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34385,,,,,1441210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34384,,,,,,,,,,,,,,,,,,,,,,,,,,,3266160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34381,,,,,,,,,,,,3308590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34379,,,,,,,,,,,1505770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34376,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464110,,,,,,,,,,,,,,,,,,,,,,,,,,,
34365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839507,,,,,,,,,,,,,,,,,,,,,,
34364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574347,,,,,,,,,,,,,,,,
34359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886921,,,,,,,,,,,,,,,,,,,,,
34356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847374,,
34341,,,,,,,,,,,1665220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34339,,,,,1838200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2245890,,,,,,,,
34316,,132085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34312,,,233201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34310,,,,931444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34304,,,,,,,,,,,,,,,,,,,,,,1809520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116610,,,,,,,,,,,,,,,,,,,,,,,,
34297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079230,,
34292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843540,,,,
34291,,103454,,,,,,,,,,,,,,,,,,194512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34288,,,,,,,,2480450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34280,,,,,,,,,,,,,,,,,,,,,,,,3339190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34270,,,,612354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34267,,,,,,,,,1859640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34264,,,,,,,,,,,,,,,,,,911387,624922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34263,,,,,,,,,,,,,,,,,686936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031690,,
34254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815770,,,,,,,,,,,,,,
34245,,,,,,,,,,,,2463260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112475,,,,,,,,,,,,,,,,,
34236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732330,,,,,,,,,,,,
34235,,,,,,,,,,,,,1467580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332364,,,,,,,,,,,,,,,,
34211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602390,,,,,,,,,,,,,,
34210,,,,,,,,,,,,,,,,,,,,,495867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635589,,
34204,,,,,,,,,,,,1797570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285360,,,,,,,,,,,,,,,,,,,,,,,,
34196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860502,,,,,,,,,,,,1754580,,,,553433,,,
34194,,,,,,,,,,,,,,,,,,,833380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34193,,,,,,,,,,,,,,,,,,613259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34187,,83951.1,206664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34181,,,,,,,,,,,,,,,1209890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34177,,,,,1072900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34170,,,,,,,,,,,,,,,,,,,,164124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34129,,,,,,1990810,,,,,,,,,,,,,,,,,,2965610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307560
34099,,,,,865344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34097,,,,,,,,,,,,,,,,,892613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34092,,,,,,,,,,,,,,,,,,,,,,,1840500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34083,,,,,,,,,,,,,,,,,,,,,,,,1953720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651632,,,
34054,,,,,,,,,,,,,,1035810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919940,,,,,,,,
34035,,,,,,,,,,,,,,,,,,,,,,,1870810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100250,
34023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110600,,,,,,,,,,,,,,,,,,,,
33987,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359740,,,,,,,,,,,,,,,,,,,,,,,,,,,
33963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910287
33949,,,,,,,,,,,,,,,,,,,,,,,,,2775030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645580,,,,,,,,,,,,,,,,,,,,,,
33934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156320,,,,,,,,,,,,,,,,,,,,,
33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672974,,,,,,,,,,,,,,,,,,,,
33894,,,,,,,,,,,,,,,,,,1130080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002830,,,,,,,,,,,,,,,,,,,,
33890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99644.1,,,,,,,,,,,,,,,,,
33884,,,,,,,,,,,,,,,,,873285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317514,,,,,,,,,,,,,,,,
33876,,,310196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33868,,,,,,,,,,,,,,1209510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922478,,,,,,,,,,,,,,,,,,,,,1070090,,,,
33838,,,,,,,,,,,,,,,,695641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33834,,,,,,,,,,,,,1487720,940891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472470,,,,,,,
33832,,,,,,,,,,,,1775930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657978,,,,,,,,,,,,,,,,,,,,
33800,,,,,,,,,,,,,,,,,,,,,,,,,,2046520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678102,,,,,
33779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702774,,,,,,,,,,,,,,,,,,
33762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036360,,,,
33759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449980,,,,,,,,,,,,,,,,,,,,,,,
33758,,,,,,,,,,,,,,,,1101400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554800,,,,,
33755,,,,,,,,,1606520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33753,,87656.2,,,,,,,,,,,,,,,1108760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33751,,,,,,,1455610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604808,,,
33732,,,,,,,,,,,,,,,,,,,599657,,,,,,,,,1739180,,,,,,,,,,,,,,,,,,,,,,,,,,,
33726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702944,,,,,,,,,,,,,,,,,,
33710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849676,,,,
33708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839336,,,,,,,,,,,,,,,,,,,,
33703,,,,,,,,,,,,,,,,,,,,,,,,1766070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193560,,,,,,
33696,,,,,,,,,,,,,,,,,,,591753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33692,,,,,,,,,,,,,,,,,,,,,771636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33691,,,,,,,,1030010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408780,,,,,,,,
33686,,,,,,,,,,,,,,,,913542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33665,,,,,,,,,,,,,,,,,756481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33664,,,,,,,,,,,,,,,,895324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999499,,,,
33659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1387030,,,,,,,,,,,,,,,,,,,,,,,,
33658,,,,,,,,,,,,,,,,,,,595358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33652,,,,,,,,,,,,,,971783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2103280,,,,,,,,,,,,,,,,,,,,,,,,,
33628,,,,,,,,,,,,,,,,1441380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254910,,,,,,,,,,,,,,,,,,,,,,,,,
33622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274150,,,,,,
33620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630920,,,,,,,,,,,
33618,,,,,,,,,,,,,,,,,1896580,,,,,,,,2044440,,,,,,,,,,,,,,,,,,,,,,,,,1085250,,,,,
33616,,,,,,,,,,,,2087530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457090,,,,,,,
33592,,,,,,,,,,,,,,,1193580,,,,,,,,1982260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160639,,,,,,,,,,,,,,,,,
33587,,,,,,,,,,,,1984510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33586,,,,,,,,,1557660,,,,,,,,,,,,,,,,,,,,,,,,,,837472,,,,,,,,,,,,,,,,,,,,
33579,,,155896,,,,,,,,,,,,,,,,,,,,,,,,1818040,,,,,,,,,,,,,,,,,,1885270,,,,,,,,,,
33577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557270,,,,,,,,,,,
33574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867200,,,,,,,,,
33559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874931,,,,,,,,,,,,,,,,,,,,
33554,,,,,,,,,,1915760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330410,,
33546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008250,,,,,,,,,
33541,,,,,,,,,,,,,1421520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33529,,,,,,,,,,,,,,,,,,,,,604466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33524,,,,,,,,,,,,,,,,,,,675671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927215,,,,,,,,,,,,,,,,,,,,,,,
33514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783693,,,,,,,,,,,,,,,,,,,,
33512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161270,,,,,,,,,,,,,,,,,,,,,,,,
33508,,,,,,,,,,,,,,1088570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195390,,,,,,
33489,,,,,,,,1060190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932936,,,,,,,,,,,,,,,,,,,,,,,
33486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652690,,,,,,,,,,,,,
33485,,,,,,,1830260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33481,,,,,,,,,,,,,,,,821099,,,,,,,,,,,,,,,985281,,,,,,,,,,,,,,,,,,,,,,,,
33479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855076,,,,,,,,,,,,,,,,,,,,,,,,,,
33470,,,,,,,,,,,,,,,,,,1076280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33453,,,,,,,,,,,,,,,,,,,,,,,,,,,1923620,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33434,,,,,,,,,,,,,,,,,,,778236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33428,,,,,,,,,,,,,,,,,1117480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875247,,,,,,,,,,,,,,,,,,,,,,
33425,,,,,,,,,,,,,,,,972623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989656,,,,,,,,,,,,,,,,,,,,,
33403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714401,,,,,,,,,,,,,,,,,,,,,,
33402,,,,,,,,,,,,,,,,,,,,,,,,,,,2233160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33401,,,,,,,,,,,,,,,,,,,,,,,,,,2923770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3368120,,,,,,,,,,
33378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276610
33377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956559,,,,,,
33370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434010,,,,,,,,,,,,,,,,,,,,,,,,,
33367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732305,,,,,,,,,,,,,,,,,,,,,,
33361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026420,,,,,,,,
33356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665991,,,,,,,,,,,,,,,,,,,,
33351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679076,,,,
33350,,,,,,,,,,,,,,,,,,,,,827641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33342,,,,,,,,,,,,,,,,,,,,,,,,1576000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33337,,,,,,,,,,,,,,,,,,,,,,,1882690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33336,,,,,,,,1154470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678038,,,,,,,,,,,,,,,,,,,,,,,
33327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814835,,,,,,,,,,,,,,,,,,,,,,,,,
33325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664482,,
33312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903363,,,,,
33298,,,,,,,1548670,1275490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2298170,,,,,,,,,,,,
33293,,,,,,,,,,,,,,,,,,727901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917240,,,,,,,
33290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912140,,,,,,,,,
33285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145690,,,,,,,,,,,,,,,,,,,,,,,
33284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025950,,,,,
33282,,,,,,,,,,,,,,,975876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33261,,,,,,,,,,,,,,,,,,,679818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33260,,,,,,,,1102250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33256,,,,,,,,,,,,,,,,,,,,,,,,,2264820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851106
33254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265770,,,,,,,,,,,,,,,,,,,,,,,,,
33249,,,,,,,,,,,,,,,,,,,,,787880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409497,,,,,,,,,,,,,,,,
33238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1578580,,,,,,,,,,,,,
33235,,,,,,,,,,,,,,,,,,,,223204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521010,,,,,,,
33222,,,,,,,,,,,,2999930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33219,,,,,,,,,,,2187030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929181,,,,,
33218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856334,,
33217,,,,,,,,,,,,,,,,,,,,,,,,,,,3461340,,,,,,,,1082670,,,,,,,,,,,,,,,,,,,,
33216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2285490,,,,,,,,
33214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3087850,,,,,,,,,
33194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638891,,,,,,,,,,,,,,,,,,,,
33193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2297930,,,,,,,
33192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2517470,,,,,,,,,,,,,
33186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1773290,,,,,,,,,,,
33183,,,,,,,,,,,,,,,,,,697486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33180,,,,,,,,,,,,,,,,,,,,,,,,,,,2239060,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1817450,,,,,,,,,,
33155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490874,,,,,,,,,,,,,,,,
33153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2113760,,,,,,,,,,,,
33151,,,,,,,,,,2487350,,,,,,,,,,,,,,,,,,,,,,,,911069,,,,,,,,,,,,,,,,,,,,,
33150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853766,,,,,,,,,,,,,,,,,,,,,,,
33149,,,,,,,,,,,,,,,,,802696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33148,,,,,,,,,,,,,,,,764170,,,,,,,2877880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
