,Sample name,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Name,
34334,,,,,,,,,6943930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405880,,,,,,,2461130,,,,,,,,,,
34329,,,,,,,,,,,,,,,,,,,,,,1039740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266100,,,,
34322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264902,,,
34316,,,,,,,,,,,,,,,,,,,,,,,,2667070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34312,,,,,,,,,,5468710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5313910,,,,,,,,,,,,,,,,,,,,,,,,,,,
34308,,,,,,,,,,,8331230,2972950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4986290,,,,,,,,
34307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7468940,,,3586700,,,,,,,,,,,,,,,,,,2216920,,,,,,,
34306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3811550,,,,,,,,,,,,,,,,,,,,,,,,,,
34293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84292.7,,,,,,,,,,,,,,,,,241543,
34291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302322,,,,,,,,,,,,,,,,,
34277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639080,,,,,,,,,,,,,,,,,,,,,,,
34271,,,,,,,,,6106110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496211,,,,
34268,,,,,,,,,,,25380100,8059330,2786180,,,,,,,,,,,,,,,,,,,,,,12022500,7098030,,,,,,,,,,,,,,,,7118900,,4574560,,,,,,,
34267,,,,,,,,,,9802780,,,,,,,,,,,,,,,,,,,,,,13832600,30357400,30488500,,,,,,,,,,,,,,,,,,,14994500,,,,,,,,
34266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7005820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375711,,,,,,,,,,,,,,,,
34262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309414,,,,,
34261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263573,,
34250,,,,,,,,,,,,,,,2219400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4404220,,,,,,,,,,,,,,,,,,,,713493,,,,,,
34243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2334960,,,,,,,
34242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4397930,,,,,,,,,,,,,,,,,,,,,,,,,
34222,,860788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180803,,,,,,,,,,,,,,,,,
34199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3921600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3582440,,,,,,,,,,,,,,,,,,,,,,,,,,,
34193,,,,,,,,,,,,,,,3745230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34192,,,,,,,,,,,,14748200,10400100,,,,,,,,,,,,,,,,,,,,,,10813500,,23292200,7380200,,,,,,,,,,,,,,,,10614100,10923000,,,,,,
34191,,,,,,,,,,,3552950,,,,,,,,,,,,,,,,,,,,,,,,,25366300,,,,,,,,,,,,,,,,,,,,1058310,,,,,
34182,,,,,,,,,,,,,,,,,,,,,,,,3212020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34181,,,3460950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2962560,,,,,,,,
34177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7571630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34175,,,,,,,,,,,,,,,,,,,,,,939691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9427920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252061,
34170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246455,,,,,,,,,,,,706263,,,,,
34168,,,,3453560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3303970,,,,,,,,,,,,,,,,,,,,,,,,,,,
34166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7908380,,,,,,,,,,,,,,,,,,,5065470,,,,,,,,,
34161,,,,,,,,,,,,,,,3169590,,,,,,,,,,,,,,,8174520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581296,,
34147,,,,,,,,,,,,,,,,,,,,,,,,2240500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34482.9,,,,,,,,,,,,,,,,,,,
34141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825680,,,,,,,,
34137,,,,,,,,,,,,,,,,,,,,,,940307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34128,,,,,,,,,,,,,,,,,1669080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812030,,,,,,,,,,,,,,,,,,,,,,,,,
34122,,,,,,,,,6043360,,,,,,,,,,,,,,,,,,,,,7076810,,12937400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11711400,,,,,,,,,,,,,,,,,,,,,5000900,,,,,,,,,
34120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280880,,,,,,,,,,
34118,,,,,,,,,,6597320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34110,,,,,,,,,,,,,,,1753910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511880,,,,,,,,,,,,,,,,,,,,,,,,,
34104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9986320,,11940100,,,,,,,,,,,,,,,,,,,,,,,,,,
34103,,,,,,,,,,,10342600,,,,,,,,,,,,,,,,,,,,,,,21470400,,,,,,,,,,,,,,,,,,,9308020,,,,,,,,
34102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5121600,,,,,,,
34099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1486680,,,,,,,,,,,,,,,,,,,,,,,,
34098,,,,,,,,,,,,5654090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503900,,,,,,
34056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011010,,,,,,,,,
34052,,,,,,,,,,,,,2722150,,,,,,,,,,,,,,,,,,,,,,,,2473480,,,,,,,,,,,,,,,,,,,,,,,,
34050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5077610,,,,,,,,,,,,,,,,,,,,,,,,,
34049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4934630,,,,,,,,,,,,,,,,,,,,,,,,,,
34048,,,,,,,,,,,6321070,,,,,,,,,,,,,,,,,,,,,,6668910,,,,,,,,,,,,,,,,,,,,8262040,3431510,,,,,,,
34047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13126400,,,,,,,,,,,,,,,,,,,,,,,,,,,
34031,,,,,,,,,,,,,,,,,,,,,,,,2454440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3004720,,,,,,,,,,,,,,,,,,,,,,,,,
34021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7306840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2534780,,,,,,,,,,,,,,,,,,,,,432409
34018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4704550,,,,,,,,,,,,,,,,,,,,,4733240,,,,,,,,,
34017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497310,,,,,,,,
34016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10857800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34014,,,,,,,,,,3851290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7805970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346080,,,,,,,,,,,,,,,,,,,,
33982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915450,,,,,,,,,,,,,,,,,,,,,,,
33980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5892240,,,,,,,,,,,,,,,,,,,,,,,,,
33979,,,,,,,,,,,,3617040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1464600,,,,,,,
33978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147290,,,,,,
33977,,,,,,,,,,6448530,,,,,,,,,,,,,,,,,,,,,,,7509410,,,,,,,,,,,,,,,,,,,,2621860,,,,,,,,
33976,,,,,,,,,8103360,,,,,2664080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375329,,,,,
33975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9228610,,,,,,,,,
33974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11149800,,,,,,,,,,,,,,,,,,,,,,,,,217699,,,,
33963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647330,,,,,,,,,,,,,,,,,,,,,,,,
33959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6391730,,,,,,,,,
33957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7270980,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33950,,,,,,,,4072940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4841160,,,,,,,,
33944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3892540,,,,,,,,,,,,,,,,,,,,,,,,,,
33943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5495250,,,1430970,,,,,,,,,,,,,,,,,,,,,,,,
33942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2838980,,,,,,,
33940,,,,,,,,,,,4173440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619106,,,,,,
33902,,,,,,,,,,,45170700,13643800,,2566120,2234040,,,,,,,,,,,,,,,,,,,,,11486900,,,,,,,,,,,,,,,,,22567600,11603300,,,,,,,
33901,,,,,,,,,,10369600,,,,,,,,,,,,,,,,,,,,,,8966390,33388600,50889300,30847800,,,,,1620650,,,,,,,,,,,,,,,,,,,,,
33900,,,,,,,,,,,,,3091500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270988,,,,
33893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4999350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046370,,,,,,
33874,,,,,,,4340750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33863,,,,,,,,,,,,,,,2054570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1244410,,,,,,,,
33851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6308650,,,,,,,,,,,,,393633,,,,,,,,,,,,,,,,
33849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3937810,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33839,,,,,5513240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397707,,,,,,,,,,,,,,,,
33825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575279,,,,,
33819,,,,,,,,,,,4636890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2708500,,,,,,,,,,,,,,,,,,,,,,,,,,
33813,,,,,,,,,,,,,,,,,,,,1643620,,,,,,,,,,,12869000,17890800,13205800,,,,,,,,,,,,,,,,,,,12465800,7233720,,,,,,,,
33812,,,,,,,,,,19357300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417808,,,,,,
33811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4087860,,,,,,,,,,
33809,,,,,,,,,,,,,,,2558960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33800,,,,,,,,,,,,,,,,2497130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105809,,,,,,,,,,,,,,,,,,
33781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428917,,,,,,,,,,,,,,,,
33773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434920,852161,,,,,,
33766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4329610,,,,,,,,,,,,,,,,,,,,,,,,,
33765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4384390,,,,,,,,,,,,,,,,,,,,,,,,,,
33761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3214360,,,,,,,,,,,,,,,,,,,,,,,,,,,
33760,,,,2589000,,,,,,,,,,,,,,,,,,,,,,,,,,4973590,,,,,,,,,,,,,,,,,,,,,2696530,,,,,,,,,,
33759,,,,,,,,,,,6017540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33757,,,,,,,,,12958400,20806500,,,,,,,,,,,,,,,,,,,,,,22755600,,,,,,,,,,,,,,,,,,,,14805600,4242560,,,,,,,,
33756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16446100,,17954400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511473,,,,,,,,,,,,,,,
33738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11590100,,2856730,,,,,,,,,,,,,,,,,,,,,,,,,
33737,,,,,,,,,,,9879130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4756750,,,,,,,
33736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4719930,,,,,,,,
33735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8238760,,,,,,,,,245888,,,,,,,,,,,,,,,,,
33733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5409290,,,,,,,,,,,,,,,,,,,,2438560,,,,,,,,,
33726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831150,,,,,,,,,,,,,,,,,,,,,,
33725,,,,,,,,4560280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3702580,,,,,,,,,,,,,,,,,1138980,,,,,,,,
33690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6282680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003680,,,,,,,,,
33686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4240760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4156320,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668100,,,,,,,,,,,,,,,,,,,,,,,,
33682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607500,,,,,,,,,,,,,,,,,,,,,,,
33671,,,,,,,,,8939220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6513610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6874130,,,,,,,,,,
33655,,,,,,,,,9775050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11373400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33652,,,,,,,,,,,6352710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7556000,,,,,,,,
33651,,,,,,,,,,17567700,,,,,,,,,,,,,,,,,,,,,,22136400,19013200,,,,,,,,,,,222980,,,,,,,,12584200,,,,,,,,,
33650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5695520,,,,,,,,,,,,,,,,,,,,,,,,,,,
33649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664703,,,,,,,
33647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723050,,,,,,,,,,,,,,,,,,,,,,,
33646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365330,,,,,,,,,,,,,,,,,,,,,
33622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987821,,,,,,,
33618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465060,,,,,,,,,,,,,,,,,,,,,,,,
33614,,,,,,,,,,,,2453190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2758300,,,,,,,,,,,,,,,,,,,,,,,,,,
33611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16227000,,,,,,,,,,,,,,,,,,,,6553990,,,,,,,,
33610,,,,,,,,,9255160,19117100,,,,,,,,,,,,,,,,,,,,,,31038400,,,,,,,,,,,,,,,,,,,,15895100,,,,,,,,,
33609,,,,,,,,,,,5855690,,,,,,,,,,,,,,,,,,,,18567800,,,,,,,,,,,,,,,,,,,,,,,,384977,,,,,,
33607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6470190,,,,,,,,,,,,,,,,,,,,,,,,,,,
33606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6848300,,,,,,3633440,,,,,,,,,,,,,,,,,,,,,,,,,
33594,,,,,,,,,,,,2844550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3031350,,,,,,,,
33578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520040,,,,,,,,,,,,,,,,,,,,,,,,,
33554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7507510,6348290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2922100,,,,,,,,,
33538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1251950,,,,,,
33537,,,,,,,,,,,8611090,5030700,,,2703470,,,,,,,,,,,,,,,,,,,16237200,19650500,,,,,,,,,,,,,,,,,,5868540,,,,,,,,
33536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8646960,,,,,,,,,,,,,,,,,,9406740,,,,,,,
33533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1773780,,,,,,,,,,,,,,,,,,,,,,,
33530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3943770,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12299700,6660580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4082260,,,,,,,,,
33520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2433040,,,,,,,,,,,,,,,,,,,,,
33518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6634090,,,,,,,,,,
33510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17476500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5753830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33507,,,,,,,,,,,,,,,,,1424130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33505,,,,,,,,,14850100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4289630,,,,,,,,,
33498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259608,,,,
